연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 , 620 ," 4,567 "," 2,730 "," 2,535 "," 3,235 ", 951 ," 3,851 ", 888 
2025 , 665 ," 4,575 "," 2,638 "," 2,541 "," 3,244 "," 1,035 "," 3,831 "," 1,016 "
2026 , 713 ," 4,421 "," 2,453 "," 2,362 "," 3,054 ", 993 ," 3,656 "," 1,069 "
2027 , 695 ," 4,276 "," 2,432 "," 2,269 "," 2,961 ", 989 ," 3,604 "," 1,043 "
2028 , 682 ," 3,852 "," 2,194 "," 2,109 "," 2,675 ", 880 ," 3,285 ", 929 
2029 , 616 ," 3,434 "," 1,928 "," 1,855 "," 2,354 ", 781 ," 2,901 ", 855 
2030 , 565 ," 3,135 "," 1,763 "," 1,693 "," 2,134 ", 713 ," 2,645 ", 794 
2031 , 499 ," 2,776 "," 1,560 "," 1,502 "," 1,895 ", 631 ," 2,347 ", 703 
2032 , 446 ," 2,485 "," 1,396 "," 1,345 "," 1,697 ", 567 ," 2,101 ", 629 
2033 , 424 ," 2,354 "," 1,326 "," 1,274 "," 1,614 ", 538 ," 1,993 ", 596 
2034 , 416 ," 2,311 "," 1,300 "," 1,252 "," 1,582 ", 527 ," 1,955 ", 585 
2035 , 390 ," 2,170 "," 1,221 "," 1,176 "," 1,482 ", 493 ," 1,839 ", 548 
2036 , 373 ," 2,068 "," 1,164 "," 1,121 "," 1,419 ", 470 ," 1,752 ", 523 
2037 , 343 ," 1,899 "," 1,068 "," 1,027 "," 1,297 ", 432 ," 1,607 ", 481 
2038 , 322 ," 1,795 "," 1,010 ", 973 ," 1,226 ", 410 ," 1,517 ", 456 
2039 , 300 ," 1,665 ", 937 , 899 ," 1,139 ", 376 ," 1,409 ", 422 
2040 , 282 ," 1,561 ", 878 , 847 ," 1,072 ", 353 ," 1,325 ", 394 
2041 , 269 ," 1,494 ", 845 , 810 ," 1,026 ", 340 ," 1,269 ", 380 
2042 , 258 ," 1,440 ", 813 , 779 , 991 , 328 ," 1,222 ", 364 
