연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 , 586 ," 4,213 "," 2,818 "," 2,506 "," 3,109 ", 861 ," 3,273 ", 898 
2025 , 567 ," 3,815 "," 2,477 "," 2,248 "," 2,813 ", 863 ," 2,926 ", 914 
2026 , 558 ," 3,405 "," 2,138 "," 1,948 "," 2,437 ", 753 ," 2,577 ", 881 
2027 , 512 ," 3,089 "," 1,977 "," 1,740 "," 2,217 ", 713 ," 2,394 ", 806 
2028 , 488 ," 2,695 "," 1,738 "," 1,569 "," 1,948 ", 620 ," 2,119 ", 705 
2029 , 447 ," 2,438 "," 1,551 "," 1,400 "," 1,738 ", 542 ," 1,890 ", 650 
2030 , 425 ," 2,305 "," 1,466 "," 1,327 "," 1,637 ", 513 ," 1,789 ", 625 
2031 , 417 ," 2,255 "," 1,441 "," 1,305 "," 1,605 ", 505 ," 1,760 ", 613 
2032 , 392 ," 2,118 "," 1,355 "," 1,226 "," 1,505 ", 473 ," 1,652 ", 578 
2033 , 374 ," 2,023 "," 1,294 "," 1,172 "," 1,448 ", 454 ," 1,580 ", 551 
2034 , 343 ," 1,855 "," 1,186 "," 1,074 "," 1,322 ", 416 ," 1,448 ", 506 
2035 , 323 ," 1,748 "," 1,120 "," 1,008 "," 1,243 ", 391 ," 1,363 ", 478 
2036 , 300 ," 1,620 "," 1,038 ", 935 ," 1,153 ", 364 ," 1,267 ", 443 
2037 , 282 ," 1,521 ", 972 , 874 ," 1,078 ", 340 ," 1,189 ", 415 
2038 , 270 ," 1,462 ", 934 , 842 ," 1,038 ", 328 ," 1,143 ", 399 
2039 , 259 ," 1,405 ", 900 , 812 , 998 , 314 ," 1,099 ", 384 
2040 , 235 ," 1,268 ", 812 , 729 , 903 , 284 , 991 , 345 
2041 , 211 ," 1,137 ", 728 , 657 , 809 , 254 , 891 , 312 
2042 , 184 ," 1,000 ", 644 , 579 , 714 , 224 , 785 , 274 
