연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 , 725 ," 4,643 "," 2,292 "," 1,807 "," 3,688 ", 617 ," 4,969 ", 566 
2025 , 767 ," 4,902 "," 2,418 "," 1,918 "," 3,892 ", 659 ," 5,244 ", 594 
2026 , 773 ," 4,934 "," 2,437 "," 1,924 "," 3,920 ", 661 ," 5,296 ", 605 
2027 , 748 ," 4,775 "," 2,353 "," 1,866 "," 3,799 ", 636 ," 5,119 ", 581 
2028 , 725 ," 4,629 "," 2,277 "," 1,813 "," 3,686 ", 623 ," 4,961 ", 562 
2029 , 688 ," 4,406 "," 2,165 "," 1,717 "," 3,497 ", 592 ," 4,714 ", 534 
2030 , 695 ," 4,419 "," 2,177 "," 1,717 "," 3,510 ", 588 ," 4,722 ", 538 
2031 , 673 ," 4,316 "," 2,123 "," 1,682 "," 3,416 ", 580 ," 4,605 ", 521 
2032 , 612 ," 3,902 "," 1,931 "," 1,531 "," 3,108 ", 525 ," 4,186 ", 476 
2033 , 541 ," 3,460 "," 1,713 "," 1,352 "," 2,750 ", 469 ," 3,718 ", 419 
2034 , 497 ," 3,168 "," 1,562 "," 1,234 "," 2,510 ", 426 ," 3,397 ", 383 
2035 , 437 ," 2,797 "," 1,383 "," 1,102 "," 2,241 ", 378 ," 2,998 ", 341 
2036 , 392 ," 2,517 "," 1,240 ", 975 ," 2,000 ", 340 ," 2,692 ", 303 
2037 , 369 ," 2,377 "," 1,171 ", 936 ," 1,894 ", 320 ," 2,549 ", 287 
2038 , 370 ," 2,354 "," 1,154 ", 915 ," 1,871 ", 316 ," 2,513 ", 287 
2039 , 348 ," 2,194 "," 1,079 ", 856 ," 1,744 ", 292 ," 2,349 ", 268 
2040 , 324 ," 2,096 "," 1,029 ", 820 ," 1,670 ", 277 ," 2,238 ", 252 
2041 , 302 ," 1,922 ", 942 , 747 ," 1,531 ", 258 ," 2,054 ", 233 
2042 , 284 ," 1,812 ", 891 , 709 ," 1,439 ", 243 ," 1,942 ", 224 
