연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 ," 1,513 "," 4,920 "," 1,503 "," 1,875 "," 3,063 "," 1,173 "," 3,880 ", 877 
2025 ," 1,685 "," 5,469 "," 1,667 "," 2,088 "," 3,397 "," 1,306 "," 4,320 ", 974 
2026 ," 1,612 "," 5,225 "," 1,590 "," 1,995 "," 3,256 "," 1,248 "," 4,121 ", 928 
2027 ," 1,524 "," 4,947 "," 1,509 "," 1,893 "," 3,075 "," 1,183 "," 3,915 ", 880 
2028 ," 1,608 "," 5,228 "," 1,593 "," 1,994 "," 3,256 "," 1,247 "," 4,136 ", 933 
2029 ," 1,619 "," 5,270 "," 1,603 "," 2,010 "," 3,278 "," 1,258 "," 4,170 ", 935 
2030 ," 1,568 "," 5,098 "," 1,548 "," 1,946 "," 3,169 "," 1,217 "," 4,021 ", 910 
2031 ," 1,523 "," 4,933 "," 1,502 "," 1,886 "," 3,072 "," 1,176 "," 3,908 ", 880 
2032 ," 1,447 "," 4,693 "," 1,426 "," 1,793 "," 2,918 "," 1,120 "," 3,710 ", 837 
2033 ," 1,450 "," 4,707 "," 1,430 "," 1,799 "," 2,928 "," 1,122 "," 3,721 ", 838 
2034 ," 1,413 "," 4,588 "," 1,403 "," 1,755 "," 2,858 "," 1,095 "," 3,631 ", 818 
2035 ," 1,285 "," 4,164 "," 1,270 "," 1,594 "," 2,593 ", 996 ," 3,295 ", 744 
2036 ," 1,138 "," 3,694 "," 1,124 "," 1,416 "," 2,302 ", 883 ," 2,924 ", 658 
2037 ," 1,040 "," 3,376 "," 1,030 "," 1,294 "," 2,100 ", 805 ," 2,669 ", 599 
2038 , 923 ," 2,988 ", 910 ," 1,140 "," 1,866 ", 717 ," 2,365 ", 534 
2039 , 826 ," 2,686 ", 814 ," 1,025 "," 1,666 ", 638 ," 2,116 ", 477 
2040 , 781 ," 2,534 ", 771 , 966 ," 1,578 ", 607 ," 2,009 ", 450 
2041 , 773 ," 2,507 ", 763 , 960 ," 1,557 ", 598 ," 1,980 ", 448 
2042 , 722 ," 2,337 ", 708 , 894 ," 1,459 ", 560 ," 1,852 ", 415 
