연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 , 645 ," 4,506 "," 2,833 "," 2,581 "," 3,291 ", 978 ," 3,812 ", 921 
2025 , 657 ," 4,283 "," 2,605 "," 2,457 "," 3,132 "," 1,031 "," 3,601 "," 1,012 "
2026 , 714 ," 4,215 "," 2,470 "," 2,321 "," 3,001 ", 987 ," 3,494 "," 1,060 "
2027 , 647 ," 3,793 "," 2,289 "," 2,076 "," 2,705 ", 912 ," 3,205 ", 961 
2028 , 618 ," 3,320 "," 2,015 "," 1,884 "," 2,380 ", 794 ," 2,853 ", 841 
2029 , 566 ," 3,075 "," 1,832 "," 1,711 "," 2,164 ", 726 ," 2,599 ", 794 
2030 , 510 ," 2,708 "," 1,623 "," 1,513 "," 1,914 ", 642 ," 2,295 ", 715 
2031 , 458 ," 2,429 "," 1,440 "," 1,357 "," 1,716 ", 578 ," 2,059 ", 641 
2032 , 432 ," 2,301 "," 1,373 "," 1,273 "," 1,625 ", 547 ," 1,951 ", 605 
2033 , 424 ," 2,260 "," 1,348 "," 1,251 "," 1,595 ", 536 ," 1,916 ", 594 
2034 , 399 ," 2,117 "," 1,266 "," 1,173 "," 1,497 ", 505 ," 1,798 ", 558 
2035 , 380 ," 2,022 "," 1,209 "," 1,121 "," 1,426 ", 481 ," 1,717 ", 533 
2036 , 349 ," 1,855 "," 1,108 "," 1,025 "," 1,308 ", 441 ," 1,574 ", 490 
2037 , 330 ," 1,760 "," 1,047 ", 972 ," 1,236 ", 418 ," 1,485 ", 463 
2038 , 305 ," 1,625 ", 974 , 900 ," 1,149 ", 387 ," 1,377 ", 428 
2039 , 286 ," 1,527 ", 913 , 845 ," 1,075 ", 363 ," 1,293 ", 401 
2040 , 276 ," 1,460 ", 874 , 812 ," 1,033 ", 348 ," 1,240 ", 385 
2041 , 268 ," 1,405 ", 838 , 779 , 992 , 336 ," 1,192 ", 370 
2042 , 240 ," 1,274 ", 763 , 702 , 894 , 304 ," 1,080 ", 335 
