연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 , 750 ," 4,895 "," 2,531 "," 2,024 "," 3,766 ", 810 ," 4,986 ", 642 
2025 , 760 ," 4,934 "," 2,553 "," 2,035 "," 3,788 ", 819 ," 5,021 ", 646 
2026 , 737 ," 4,775 "," 2,466 "," 1,966 "," 3,667 ", 793 ," 4,851 ", 624 
2027 , 714 ," 4,628 "," 2,392 "," 1,908 "," 3,551 ", 771 ," 4,702 ", 603 
2028 , 681 ," 4,396 "," 2,276 "," 1,815 "," 3,377 ", 733 ," 4,468 ", 574 
2029 , 677 ," 4,411 "," 2,282 "," 1,821 "," 3,384 ", 733 ," 4,484 ", 577 
2030 , 663 ," 4,302 "," 2,229 "," 1,778 "," 3,302 ", 714 ," 4,374 ", 564 
2031 , 601 ," 3,900 "," 2,017 "," 1,615 "," 3,004 ", 646 ," 3,972 ", 509 
2032 , 532 ," 3,465 "," 1,789 "," 1,429 "," 2,661 ", 577 ," 3,523 ", 453 
2033 , 491 ," 3,163 "," 1,633 "," 1,304 "," 2,429 ", 526 ," 3,214 ", 414 
2034 , 430 ," 2,798 "," 1,449 "," 1,156 "," 2,155 ", 466 ," 2,853 ", 367 
2035 , 386 ," 2,511 "," 1,297 "," 1,039 "," 1,933 ", 417 ," 2,556 ", 328 
2036 , 364 ," 2,379 "," 1,227 ", 982 ," 1,832 ", 394 ," 2,410 ", 311 
2037 , 362 ," 2,348 "," 1,214 ", 964 ," 1,804 ", 387 ," 2,391 ", 306 
2038 , 338 ," 2,186 "," 1,133 ", 907 ," 1,680 ", 363 ," 2,232 ", 287 
2039 , 322 ," 2,091 "," 1,080 ", 862 ," 1,604 ", 347 ," 2,126 ", 275 
2040 , 296 ," 1,918 ", 991 , 789 ," 1,475 ", 320 ," 1,954 ", 250 
2041 , 280 ," 1,808 ", 934 , 752 ," 1,391 ", 299 ," 1,845 ", 237 
2042 , 258 ," 1,682 ", 863 , 695 ," 1,287 ", 280 ," 1,712 ", 221 
