연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 , 600 ," 4,332 "," 2,807 "," 2,532 "," 3,132 ", 900 ," 3,502 ", 919 
2025 , 620 ," 4,213 "," 2,648 "," 2,450 "," 3,055 ", 950 ," 3,345 "," 1,006 "
2026 , 633 ," 3,861 "," 2,342 "," 2,178 "," 2,703 ", 865 ," 3,037 ", 997 
2027 , 559 ," 3,393 "," 2,103 "," 1,883 "," 2,403 ", 780 ," 2,723 ", 884 
2028 , 553 ," 3,064 "," 1,913 "," 1,763 "," 2,181 ", 700 ," 2,502 ", 808 
2029 , 501 ," 2,737 "," 1,681 "," 1,551 "," 1,920 ", 608 ," 2,206 ", 725 
2030 , 447 ," 2,448 "," 1,505 "," 1,387 "," 1,707 ", 554 ," 1,971 ", 663 
2031 , 425 ," 2,320 "," 1,424 "," 1,315 "," 1,630 ", 516 ," 1,858 ", 625 
2032 , 418 ," 2,278 "," 1,402 "," 1,291 "," 1,600 ", 507 ," 1,822 ", 615 
2033 , 393 ," 2,143 "," 1,321 "," 1,214 "," 1,506 ", 475 ," 1,713 ", 580 
2034 , 373 ," 2,046 "," 1,256 "," 1,156 "," 1,438 ", 453 ," 1,635 ", 553 
2035 , 343 ," 1,876 "," 1,153 "," 1,061 "," 1,318 ", 415 ," 1,499 ", 507 
2036 , 322 ," 1,770 "," 1,088 "," 1,005 "," 1,245 ", 393 ," 1,417 ", 477 
2037 , 302 ," 1,643 "," 1,011 ", 932 ," 1,157 ", 364 ," 1,312 ", 442 
2038 , 284 ," 1,543 ", 949 , 878 ," 1,086 ", 342 ," 1,232 ", 415 
2039 , 270 ," 1,479 ", 912 , 838 ," 1,043 ", 328 ," 1,181 ", 398 
2040 , 261 ," 1,424 ", 879 , 811 ," 1,002 ", 316 ," 1,137 ", 383 
2041 , 236 ," 1,279 ", 793 , 733 , 907 , 285 ," 1,026 ", 347 
2042 , 211 ," 1,147 ", 711 , 656 , 810 , 255 , 916 , 309 
