연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 ," 1,533 "," 5,197 "," 1,669 "," 2,053 "," 3,190 "," 1,364 "," 4,074 ", 912 
2025 ," 1,451 "," 4,923 "," 1,576 "," 1,937 "," 3,014 "," 1,294 "," 3,863 ", 863 
2026 ," 1,530 "," 5,202 "," 1,657 "," 2,049 "," 3,192 "," 1,368 "," 4,081 ", 913 
2027 ," 1,544 "," 5,238 "," 1,676 "," 2,060 "," 3,215 "," 1,379 "," 4,111 ", 917 
2028 ," 1,492 "," 5,062 "," 1,625 "," 2,000 "," 3,107 "," 1,332 "," 3,973 ", 886 
2029 ," 1,451 "," 4,911 "," 1,575 "," 1,933 "," 3,006 "," 1,296 "," 3,857 ", 858 
2030 ," 1,376 "," 4,666 "," 1,493 "," 1,835 "," 2,862 "," 1,229 "," 3,663 ", 820 
2031 ," 1,377 "," 4,683 "," 1,496 "," 1,845 "," 2,866 "," 1,229 "," 3,681 ", 818 
2032 ," 1,343 "," 4,567 "," 1,464 "," 1,794 "," 2,795 "," 1,206 "," 3,589 ", 801 
2033 ," 1,218 "," 4,146 "," 1,327 "," 1,628 "," 2,543 "," 1,093 "," 3,260 ", 728 
2034 ," 1,088 "," 3,670 "," 1,179 "," 1,448 "," 2,257 ", 967 ," 2,884 ", 644 
2035 , 987 ," 3,356 "," 1,074 "," 1,322 "," 2,055 ", 885 ," 2,642 ", 590 
2036 , 878 ," 2,975 ", 955 ," 1,167 "," 1,826 ", 785 ," 2,337 ", 522 
2037 , 784 ," 2,667 ", 851 ," 1,049 "," 1,629 ", 704 ," 2,094 ", 466 
2038 , 745 ," 2,523 ", 809 , 995 ," 1,543 ", 661 ," 1,979 ", 440 
2039 , 735 ," 2,490 ", 801 , 976 ," 1,528 ", 658 ," 1,958 ", 437 
2040 , 686 ," 2,325 ", 746 , 917 ," 1,430 ", 611 ," 1,828 ", 408 
2041 , 656 ," 2,213 ", 710 , 875 ," 1,364 ", 583 ," 1,742 ", 390 
2042 , 600 ," 2,034 ", 652 , 802 ," 1,247 ", 537 ," 1,601 ", 355 
