연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 , 708 ," 5,137 "," 2,883 "," 2,793 "," 3,616 "," 1,076 "," 4,366 ", 924 
2025 , 675 ," 4,586 "," 2,496 "," 2,475 "," 3,250 "," 1,044 "," 3,868 ", 947 
2026 , 762 ," 4,689 "," 2,424 "," 2,443 "," 3,208 "," 1,053 "," 3,910 "," 1,075 "
2027 , 731 ," 4,457 "," 2,358 "," 2,284 "," 3,056 "," 1,030 "," 3,784 "," 1,012 "
2028 , 768 ," 4,300 "," 2,284 "," 2,284 "," 2,966 ", 987 ," 3,693 ", 988 
2029 , 696 ," 3,934 "," 2,073 "," 2,060 "," 2,675 ", 879 ," 3,337 ", 914 
2030 , 632 ," 3,471 "," 1,828 "," 1,825 "," 2,375 ", 795 ," 2,960 ", 838 
2031 , 576 ," 3,172 "," 1,670 "," 1,667 "," 2,162 ", 727 ," 2,704 ", 766 
2032 , 512 ," 2,815 "," 1,477 "," 1,482 "," 1,916 ", 643 ," 2,398 ", 679 
2033 , 458 ," 2,519 "," 1,322 "," 1,324 "," 1,717 ", 576 ," 2,148 ", 609 
2034 , 434 ," 2,382 "," 1,250 "," 1,253 "," 1,621 ", 546 ," 2,031 ", 577 
2035 , 425 ," 2,342 "," 1,228 "," 1,230 "," 1,592 ", 537 ," 1,995 ", 565 
2036 , 400 ," 2,202 "," 1,156 "," 1,158 "," 1,495 ", 504 ," 1,879 ", 531 
2037 , 382 ," 2,102 "," 1,104 "," 1,105 "," 1,429 ", 480 ," 1,790 ", 508 
2038 , 351 ," 1,925 "," 1,008 "," 1,012 "," 1,310 ", 441 ," 1,638 ", 465 
2039 , 332 ," 1,819 ", 955 , 955 ," 1,234 ", 415 ," 1,549 ", 439 
2040 , 306 ," 1,685 ", 886 , 886 ," 1,145 ", 385 ," 1,435 ", 408 
2041 , 287 ," 1,586 ", 832 , 832 ," 1,075 ", 362 ," 1,348 ", 382 
2042 , 277 ," 1,519 ", 796 , 799 ," 1,030 ", 348 ," 1,293 ", 366 
