객체,년도,교원수,퇴직수,충원수,충원대비퇴직비
중학교,2024 ,11571,217,66,0.304
6000,2025 ,11374,263,18,0.068
,2026 ,11170,222,21,0.095
,2027 ,10930,261,30,0.115
,2028 ,10685,275,37,0.135
,2029 ,10482,240,34,0.142
,2030 ,10266,250,20,0.08
,2031 ,9994,292,11,0.038
,2032 ,9730,275,25,0.091
,2033 ,9422,333,12,0.036
,2034 ,9099,335,11,0.033
,2035 ,8795,315,22,0.07
,2036 ,8429,388,18,0.046
,2037 ,8056,391,37,0.095
,2038 ,7678,415,25,0.06
,2039 ,7274,429,21,0.049
,2040 ,6894,401,11,0.027
,2041 ,6452,453,32,0.071
,2042 ,6006,478,11,0.023
,2043 ,5548,469,22,0.047
,2044 ,5104,466,18,0.039
,2045 ,4742,380,22,0.058
,2046 ,4355,409,15,0.037
,2047 ,4012,358,28,0.078
,2048 ,3620,420,12,0.029
,2049 ,3261,371,17,0.046
,2050 ,2990,288,35,0.122
,2051 ,2756,269,21,0.078
,2052 ,2477,300,26,0.087
,2053 ,2202,301,26,0.086
,2054 ,1923,305,28,0.092
,2055 ,1653,298,20,0.067
,2056 ,1436,237,31,0.131
,2057 ,1256,211,23,0.109
,2058 ,1092,187,13,0.07
,2059 ,978,127,32,0.252
,2060 ,925,85,21,0.247
,2061 ,895,51,21,0.412
,2062 ,829,87,13,0.149
