객체,년도,교원수,퇴직수,충원수,충원대비퇴직비
초등학교,2024 ,8922,41,30,0.732
5000,2025 ,8864,88,25,0.284
,2026 ,8778,111,37,0.333
,2027 ,8688,127,21,0.165
,2028 ,8566,143,28,0.196
,2029 ,8443,151,20,0.132
,2030 ,8303,160,23,0.144
,2031 ,8112,214,27,0.126
,2032 ,7887,252,33,0.131
,2033 ,7688,232,24,0.103
,2034 ,7478,234,25,0.107
,2035 ,7251,252,24,0.095
,2036 ,7028,247,29,0.117
,2037 ,6743,314,28,0.089
,2038 ,6401,370,25,0.068
,2039 ,6027,399,23,0.058
,2040 ,5668,382,28,0.073
,2041 ,5319,377,25,0.066
,2042 ,5005,339,23,0.068
,2043 ,4656,372,26,0.07
,2044 ,4269,413,27,0.065
,2045 ,3914,382,38,0.099
,2046 ,3578,374,27,0.072
,2047 ,3250,355,20,0.056
,2048 ,2988,282,30,0.106
,2049 ,2773,245,36,0.147
,2050 ,2580,229,31,0.135
,2051 ,2401,210,27,0.129
,2052 ,2221,207,23,0.111
,2053 ,1993,251,37,0.147
,2054 ,1781,249,34,0.137
,2055 ,1571,244,26,0.107
,2056 ,1438,159,20,0.126
,2057 ,1356,102,39,0.382
,2058 ,1319,76,30,0.395
,2059 ,1264,85,25,0.294
,2060 ,1193,96,27,0.281
,2061 ,1118,102,35,0.343
,2062 ,1060,93,26,0.28
