연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 ," 1,631 "," 5,522 "," 1,815 "," 2,209 "," 3,438 "," 1,453 "," 4,320 ", 968 
2024 ," 1,525 "," 5,164 "," 1,697 "," 2,066 "," 3,214 "," 1,359 "," 4,039 ", 905 
2025 ," 1,440 "," 4,876 "," 1,603 "," 1,951 "," 3,036 "," 1,283 "," 3,814 ", 854 
2026 ," 1,527 "," 5,171 "," 1,700 "," 2,068 "," 3,219 "," 1,361 "," 4,044 ", 906 
2027 ," 1,522 "," 5,154 "," 1,694 "," 2,062 "," 3,208 "," 1,357 "," 4,032 ", 903 
2028 ," 1,569 "," 5,313 "," 1,746 "," 2,125 "," 3,307 "," 1,398 "," 4,156 ", 931 
2029 ," 1,408 "," 4,767 "," 1,567 "," 1,907 "," 2,967 "," 1,255 "," 3,728 ", 835 
2030 ," 1,427 "," 4,832 "," 1,588 "," 1,933 "," 3,008 "," 1,272 "," 3,780 ", 847 
2031 ," 1,415 "," 4,792 "," 1,575 "," 1,917 "," 2,983 "," 1,261 "," 3,748 ", 839 
2032 ," 1,361 "," 4,608 "," 1,515 "," 1,843 "," 2,868 "," 1,213 "," 3,604 ", 807 
2033 ," 1,236 "," 4,184 "," 1,375 "," 1,674 "," 2,605 "," 1,101 "," 3,273 ", 733 
2034 ," 1,095 "," 3,709 "," 1,219 "," 1,484 "," 2,309 ", 976 ," 2,901 ", 650 
2035 ," 1,001 "," 3,388 "," 1,114 "," 1,355 "," 2,109 ", 892 ," 2,650 ", 594 
2036 , 887 ," 3,003 ", 987 ," 1,201 "," 1,869 ", 790 ," 2,349 ", 526 
2037 , 794 ," 2,689 ", 884 ," 1,076 "," 1,674 ", 708 ," 2,104 ", 471 
2038 , 752 ," 2,545 ", 837 ," 1,018 "," 1,584 ", 670 ," 1,991 ", 446 
2039 , 620 ," 2,101 ", 690 , 840 ," 1,308 ", 553 ," 1,643 ", 368 
2040 , 580 ," 1,963 ", 645 , 785 ," 1,222 ", 517 ," 1,535 ", 344 
2041 , 569 ," 1,928 ", 634 , 771 ," 1,200 ", 507 ," 1,508 ", 338 
2042 , 594 ," 2,013 ", 662 , 805 ," 1,253 ", 530 ," 1,574 ", 353 
