연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 641 ," 4,449 "," 3,066 "," 2,641 "," 3,267 ", 804 ," 3,262 ", 822 
2024 , 582 ," 4,040 "," 2,790 "," 2,398 "," 2,966 ", 730 ," 2,961 ", 747 
2025 , 516 ," 3,581 "," 2,473 "," 2,126 "," 2,630 ", 647 ," 2,625 ", 662 
2026 , 471 ," 3,272 "," 2,259 "," 1,942 "," 2,402 ", 591 ," 2,398 ", 605 
2027 , 418 ," 2,899 "," 2,003 "," 1,721 "," 2,129 ", 524 ," 2,125 ", 536 
2028 , 374 ," 2,597 "," 1,793 "," 1,542 "," 1,907 ", 469 ," 1,904 ", 480 
2029 , 354 ," 2,458 "," 1,696 "," 1,459 "," 1,805 ", 444 ," 1,802 ", 454 
2030 , 292 ," 2,028 "," 1,401 "," 1,204 "," 1,490 ", 366 ," 1,487 ", 375 
2031 , 273 ," 1,895 "," 1,309 "," 1,125 "," 1,392 ", 342 ," 1,389 ", 350 
2032 , 268 ," 1,862 "," 1,286 "," 1,105 "," 1,367 ", 336 ," 1,365 ", 344 
2033 , 280 ," 1,944 "," 1,342 "," 1,154 "," 1,427 ", 351 ," 1,425 ", 359 
2034 , 291 ," 2,020 "," 1,395 "," 1,199 "," 1,483 ", 365 ," 1,481 ", 373 
2035 , 301 ," 2,087 "," 1,441 "," 1,239 "," 1,533 ", 377 ," 1,530 ", 386 
2036 , 309 ," 2,144 "," 1,480 "," 1,273 "," 1,574 ", 387 ," 1,571 ", 396 
2037 , 315 ," 2,188 "," 1,511 "," 1,299 "," 1,607 ", 395 ," 1,604 ", 404 
2038 , 320 ," 2,223 "," 1,535 "," 1,319 "," 1,632 ", 401 ," 1,629 ", 411 
2039 , 323 ," 2,245 "," 1,550 "," 1,333 "," 1,648 ", 405 ," 1,645 ", 415 
2040 , 325 ," 2,255 "," 1,557 "," 1,339 "," 1,656 ", 407 ," 1,653 ", 417 
2041 , 325 ," 2,256 "," 1,557 "," 1,339 "," 1,656 ", 407 ," 1,653 ", 417 
2042 , 319 ," 2,214 "," 1,529 "," 1,314 "," 1,625 ", 400 ," 1,623 ", 409 
