연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 661 ," 4,664 "," 3,009 "," 2,682 "," 3,461 ", 815 ," 3,607 ", 774 
2024 , 655 ," 4,625 "," 2,989 "," 2,659 "," 3,432 ", 808 ," 3,577 ", 767 
2025 , 630 ," 4,447 "," 2,875 "," 2,557 "," 3,301 ", 777 ," 3,440 ", 738 
2026 , 572 ," 4,038 "," 2,610 "," 2,322 "," 2,997 ", 705 ," 3,123 ", 670 
2027 , 507 ," 3,580 "," 2,314 "," 2,058 "," 2,657 ", 625 ," 2,769 ", 594 
2028 , 463 ," 3,270 "," 2,114 "," 1,880 "," 2,427 ", 571 ," 2,529 ", 543 
2029 , 411 ," 2,898 "," 1,873 "," 1,666 "," 2,151 ", 506 ," 2,242 ", 481 
2030 , 368 ," 2,596 "," 1,678 "," 1,493 "," 1,926 ", 453 ," 2,008 ", 431 
2031 , 348 ," 2,456 "," 1,588 "," 1,412 "," 1,823 ", 429 ," 1,900 ", 408 
2032 , 287 ," 2,027 "," 1,311 "," 1,166 "," 1,505 ", 354 ," 1,568 ", 336 
2033 , 268 ," 1,894 "," 1,224 "," 1,089 "," 1,406 ", 331 ," 1,465 ", 314 
2034 , 264 ," 1,861 "," 1,203 "," 1,070 "," 1,381 ", 325 ," 1,439 ", 309 
2035 , 275 ," 1,943 "," 1,256 "," 1,117 "," 1,442 ", 339 ," 1,503 ", 322 
2036 , 286 ," 2,019 "," 1,305 "," 1,161 "," 1,499 ", 353 ," 1,562 ", 335 
2037 , 296 ," 2,086 "," 1,349 "," 1,200 "," 1,548 ", 364 ," 1,614 ", 346 
2038 , 304 ," 2,143 "," 1,386 "," 1,232 "," 1,590 ", 374 ," 1,657 ", 355 
2039 , 310 ," 2,187 "," 1,414 "," 1,258 "," 1,623 ", 382 ," 1,692 ", 363 
2040 , 315 ," 2,221 "," 1,436 "," 1,277 "," 1,649 ", 388 ," 1,718 ", 369 
2041 , 318 ," 2,243 "," 1,451 "," 1,290 "," 1,665 ", 392 ," 1,735 ", 372 
2042 , 319 ," 2,254 "," 1,457 "," 1,296 "," 1,673 ", 394 ," 1,743 ", 374 
