연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 650 ," 4,538 "," 3,038 "," 2,684 "," 3,394 ", 861 ," 3,478 ", 857 
2024 , 603 ," 4,337 "," 2,906 "," 2,568 "," 3,183 ", 890 ," 3,362 ", 917 
2025 , 581 ," 3,914 "," 2,549 "," 2,306 "," 2,886 ", 880 ," 2,995 ", 939 
2026 , 577 ," 3,508 "," 2,193 "," 1,997 "," 2,506 ", 778 ," 2,653 ", 913 
2027 , 527 ," 3,169 "," 2,033 "," 1,783 "," 2,274 ", 726 ," 2,446 ", 827 
2028 , 501 ," 2,775 "," 1,787 "," 1,614 "," 2,003 ", 633 ," 2,177 ", 727 
2029 , 455 ," 2,506 "," 1,591 "," 1,437 "," 1,784 ", 561 ," 1,938 ", 669 
2030 , 434 ," 2,367 "," 1,502 "," 1,358 "," 1,682 ", 532 ," 1,834 ", 646 
2031 , 366 ," 1,946 "," 1,229 "," 1,118 "," 1,375 ", 447 ," 1,514 ", 551 
2032 , 336 ," 1,825 "," 1,159 "," 1,049 "," 1,296 ", 411 ," 1,413 ", 499 
2033 , 330 ," 1,793 "," 1,138 "," 1,030 "," 1,273 ", 404 ," 1,388 ", 490 
2034 , 344 ," 1,872 "," 1,189 "," 1,076 "," 1,330 ", 422 ," 1,449 ", 512 
2035 , 358 ," 1,946 "," 1,235 "," 1,118 "," 1,382 ", 439 ," 1,506 ", 532 
2036 , 370 ," 2,010 "," 1,277 "," 1,155 "," 1,428 ", 453 ," 1,556 ", 549 
2037 , 380 ," 2,065 "," 1,311 "," 1,186 "," 1,467 ", 465 ," 1,598 ", 564 
2038 , 388 ," 2,107 "," 1,338 "," 1,211 "," 1,497 ", 475 ," 1,632 ", 576 
2039 , 394 ," 2,140 "," 1,359 "," 1,230 "," 1,520 ", 482 ," 1,657 ", 585 
2040 , 398 ," 2,162 "," 1,373 "," 1,242 "," 1,535 ", 487 ," 1,673 ", 591 
2041 , 399 ," 2,171 "," 1,379 "," 1,248 "," 1,542 ", 489 ," 1,681 ", 593 
2042 , 400 ," 2,172 "," 1,379 "," 1,248 "," 1,543 ", 490 ," 1,682 ", 594 
