연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 638 ," 4,374 "," 3,044 "," 2,641 "," 3,188 ", 859 ," 3,309 ", 911 
2024 , 559 ," 3,946 "," 2,750 "," 2,385 "," 2,821 ", 837 ," 3,020 ", 912 
2025 , 525 ," 3,477 "," 2,358 "," 2,092 "," 2,497 ", 806 ," 2,627 ", 904 
2026 , 536 ," 3,212 "," 2,092 "," 1,867 "," 2,232 ", 735 ," 2,397 ", 900 
2027 , 475 ," 2,815 "," 1,881 "," 1,618 "," 1,965 ", 665 ," 2,145 ", 792 
2028 , 456 ," 2,491 "," 1,671 "," 1,480 "," 1,749 ", 586 ," 1,929 ", 703 
2029 , 438 ," 2,377 "," 1,572 "," 1,392 "," 1,646 ", 549 ," 1,815 ", 683 
2030 , 371 ," 1,952 "," 1,286 "," 1,143 "," 1,341 ", 462 ," 1,498 ", 591 
2031 , 353 ," 1,817 "," 1,193 "," 1,065 "," 1,242 ", 438 ," 1,400 ", 567 
2032 , 336 ," 1,797 "," 1,189 "," 1,055 "," 1,241 ", 417 ," 1,373 ", 527 
2033 , 350 ," 1,876 "," 1,241 "," 1,101 "," 1,296 ", 436 ," 1,433 ", 551 
2034 , 364 ," 1,950 "," 1,290 "," 1,144 "," 1,347 ", 453 ," 1,490 ", 572 
2035 , 376 ," 2,015 "," 1,333 "," 1,183 "," 1,392 ", 468 ," 1,539 ", 591 
2036 , 386 ," 2,069 "," 1,369 "," 1,215 "," 1,429 ", 481 ," 1,581 ", 607 
2037 , 394 ," 2,112 "," 1,397 "," 1,240 "," 1,459 ", 491 ," 1,614 ", 620 
2038 , 401 ," 2,145 "," 1,419 "," 1,259 "," 1,482 ", 498 ," 1,639 ", 630 
2039 , 405 ," 2,166 "," 1,433 "," 1,272 "," 1,497 ", 503 ," 1,656 ", 636 
2040 , 406 ," 2,176 "," 1,440 "," 1,277 "," 1,503 ", 506 ," 1,663 ", 639 
2041 , 407 ," 2,177 "," 1,440 "," 1,278 "," 1,504 ", 506 ," 1,664 ", 639 
2042 , 399 ," 2,137 "," 1,413 "," 1,254 "," 1,476 ", 496 ," 1,633 ", 627 
