연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 657 ," 4,479 "," 2,827 "," 2,572 "," 3,331 ", 899 ," 3,754 ", 807 
2024 , 643 ," 4,511 "," 2,841 "," 2,593 "," 3,292 ", 977 ," 3,824 ", 915 
2025 , 676 ," 4,437 "," 2,709 "," 2,540 "," 3,249 "," 1,064 "," 3,726 "," 1,049 "
2026 , 726 ," 4,323 "," 2,531 "," 2,385 "," 3,069 "," 1,008 "," 3,579 "," 1,089 "
2027 , 660 ," 3,882 "," 2,331 "," 2,115 "," 2,768 ", 934 ," 3,279 ", 981 
2028 , 627 ," 3,400 "," 2,056 "," 1,917 "," 2,439 ", 815 ," 2,917 ", 862 
2029 , 580 ," 3,132 "," 1,866 "," 1,741 "," 2,215 ", 738 ," 2,651 ", 810 
2030 , 519 ," 2,770 "," 1,649 "," 1,540 "," 1,956 ", 655 ," 2,349 ", 733 
2031 , 466 ," 2,479 "," 1,476 "," 1,382 "," 1,750 ", 587 ," 2,102 ", 657 
2032 , 441 ," 2,347 "," 1,398 "," 1,305 "," 1,657 ", 556 ," 1,990 ", 622 
2033 , 396 ," 2,107 "," 1,255 "," 1,171 "," 1,487 ", 499 ," 1,786 ", 558 
2034 , 395 ," 2,104 "," 1,253 "," 1,169 "," 1,485 ", 498 ," 1,783 ", 558 
2035 , 416 ," 2,216 "," 1,320 "," 1,232 "," 1,564 ", 525 ," 1,878 ", 587 
2036 , 437 ," 2,325 "," 1,385 "," 1,292 "," 1,641 ", 551 ," 1,971 ", 616 
2037 , 456 ," 2,427 "," 1,445 "," 1,349 "," 1,713 ", 575 ," 2,057 ", 643 
2038 , 473 ," 2,518 "," 1,500 "," 1,400 "," 1,778 ", 596 ," 2,135 ", 667 
2039 , 488 ," 2,598 "," 1,547 "," 1,444 "," 1,834 ", 615 ," 2,202 ", 688 
2040 , 500 ," 2,663 "," 1,586 "," 1,480 "," 1,880 ", 631 ," 2,258 ", 706 
2041 , 510 ," 2,714 "," 1,616 "," 1,508 "," 1,916 ", 643 ," 2,300 ", 719 
2042 , 517 ," 2,751 "," 1,638 "," 1,529 "," 1,942 ", 652 ," 2,332 ", 729 
