연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 653 ," 4,616 "," 3,061 "," 2,685 "," 3,476 ", 804 ," 3,429 ", 765 
2024 , 628 ," 4,439 "," 2,950 "," 2,582 "," 3,342 ", 773 ," 3,298 ", 736 
2025 , 570 ," 4,030 "," 2,678 "," 2,344 "," 3,034 ", 702 ," 2,994 ", 668 
2026 , 506 ," 3,573 "," 2,374 "," 2,078 "," 2,690 ", 622 ," 2,654 ", 592 
2027 , 462 ," 3,264 "," 2,169 "," 1,898 "," 2,458 ", 569 ," 2,425 ", 541 
2028 , 409 ," 2,893 "," 1,922 "," 1,682 "," 2,178 ", 504 ," 2,149 ", 480 
2029 , 367 ," 2,591 "," 1,721 "," 1,507 "," 1,951 ", 451 ," 1,925 ", 430 
2030 , 347 ," 2,452 "," 1,629 "," 1,426 "," 1,846 ", 427 ," 1,821 ", 407 
2031 , 286 ," 2,024 "," 1,345 "," 1,177 "," 1,524 ", 353 ," 1,503 ", 336 
2032 , 268 ," 1,891 "," 1,256 "," 1,100 "," 1,424 ", 329 ," 1,405 ", 314 
2033 , 263 ," 1,857 "," 1,234 "," 1,080 "," 1,398 ", 324 ," 1,380 ", 308 
2034 , 274 ," 1,939 "," 1,289 "," 1,128 "," 1,460 ", 338 ," 1,440 ", 322 
2035 , 285 ," 2,015 "," 1,340 "," 1,172 "," 1,518 ", 351 ," 1,497 ", 334 
2036 , 295 ," 2,083 "," 1,385 "," 1,211 "," 1,568 ", 363 ," 1,547 ", 345 
2037 , 303 ," 2,139 "," 1,422 "," 1,244 "," 1,610 ", 373 ," 1,589 ", 355 
2038 , 309 ," 2,183 "," 1,451 "," 1,270 "," 1,644 ", 380 ," 1,622 ", 362 
2039 , 314 ," 2,217 "," 1,474 "," 1,290 "," 1,669 ", 386 ," 1,647 ", 368 
2040 , 317 ," 2,239 "," 1,488 "," 1,302 "," 1,686 ", 390 ," 1,663 ", 371 
2041 , 318 ," 2,249 "," 1,495 "," 1,308 "," 1,694 ", 392 ," 1,671 ", 373 
2042 , 318 ," 2,250 "," 1,496 "," 1,309 "," 1,694 ", 392 ," 1,672 ", 373 
