연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 718 ," 4,994 "," 2,699 "," 2,070 "," 3,738 ", 730 ," 5,024 ", 644 
2024 , 716 ," 4,977 "," 2,691 "," 2,063 "," 3,726 ", 728 ," 5,008 ", 642 
2025 , 738 ," 5,131 "," 2,774 "," 2,127 "," 3,841 ", 751 ," 5,163 ", 662 
2026 , 662 ," 4,603 "," 2,488 "," 1,908 "," 3,446 ", 673 ," 4,632 ", 594 
2027 , 671 ," 4,666 "," 2,523 "," 1,934 "," 3,494 ", 683 ," 4,695 ", 602 
2028 , 665 ," 4,627 "," 2,501 "," 1,918 "," 3,464 ", 677 ," 4,656 ", 597 
2029 , 640 ," 4,450 "," 2,405 "," 1,844 "," 3,331 ", 651 ," 4,477 ", 574 
2030 , 581 ," 4,040 "," 2,184 "," 1,675 "," 3,025 ", 591 ," 4,065 ", 521 
2031 , 515 ," 3,582 "," 1,936 "," 1,485 "," 2,681 ", 524 ," 3,604 ", 462 
2032 , 470 ," 3,272 "," 1,769 "," 1,356 "," 2,449 ", 479 ," 3,292 ", 422 
2033 , 417 ," 2,900 "," 1,568 "," 1,202 "," 2,171 ", 424 ," 2,918 ", 374 
2034 , 373 ," 2,597 "," 1,404 "," 1,077 "," 1,944 ", 380 ," 2,613 ", 335 
2035 , 353 ," 2,458 "," 1,329 "," 1,019 "," 1,840 ", 360 ," 2,473 ", 317 
2036 , 292 ," 2,029 "," 1,097 ", 841 ," 1,519 ", 297 ," 2,041 ", 262 
2037 , 273 ," 1,895 "," 1,025 ", 786 ," 1,419 ", 277 ," 1,907 ", 244 
2038 , 268 ," 1,862 "," 1,006 ", 772 ," 1,394 ", 272 ," 1,873 ", 240 
2039 , 279 ," 1,944 "," 1,051 ", 806 ," 1,455 ", 284 ," 1,956 ", 251 
2040 , 291 ," 2,020 "," 1,092 ", 837 ," 1,513 ", 296 ," 2,033 ", 261 
2041 , 300 ," 2,087 "," 1,128 ", 865 ," 1,563 ", 305 ," 2,100 ", 269 
2042 , 308 ," 2,144 "," 1,159 ", 889 ," 1,605 ", 314 ," 2,157 ", 277 
