연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 , 585 ," 4,234 "," 2,812 "," 2,513 "," 3,108 ", 860 ," 3,272 ", 897 
2025 , 564 ," 3,824 "," 2,468 "," 2,240 "," 2,806 ", 864 ," 2,923 ", 913 
2026 , 559 ," 3,421 "," 2,130 "," 1,944 "," 2,449 ", 749 ," 2,574 ", 883 
2027 , 510 ," 3,102 "," 1,974 "," 1,738 "," 2,225 ", 712 ," 2,396 ", 809 
2028 , 488 ," 2,714 "," 1,739 "," 1,578 "," 1,961 ", 621 ," 2,120 ", 702 
2029 , 450 ," 2,451 "," 1,546 "," 1,401 "," 1,746 ", 545 ," 1,887 ", 650 
2030 , 426 ," 2,312 "," 1,459 "," 1,323 "," 1,637 ", 515 ," 1,782 ", 626 
2031 , 420 ," 2,283 "," 1,441 "," 1,308 "," 1,616 ", 509 ," 1,760 ", 617 
2032 , 397 ," 2,155 "," 1,366 "," 1,239 "," 1,530 ", 480 ," 1,665 ", 583 
2033 , 384 ," 2,096 "," 1,330 "," 1,204 "," 1,489 ", 466 ," 1,617 ", 567 
2034 , 374 ," 2,036 "," 1,290 "," 1,166 "," 1,448 ", 454 ," 1,572 ", 552 
2035 , 359 ," 1,954 "," 1,236 "," 1,120 "," 1,387 ", 436 ," 1,507 ", 529 
2036 , 345 ," 1,873 "," 1,183 "," 1,072 "," 1,330 ", 417 ," 1,443 ", 507 
2037 , 332 ," 1,802 "," 1,138 "," 1,031 "," 1,279 ", 402 ," 1,387 ", 487 
2038 , 322 ," 1,754 "," 1,105 "," 1,005 "," 1,246 ", 390 ," 1,352 ", 475 
2039 , 315 ," 1,714 "," 1,091 ", 986 ," 1,218 ", 380 ," 1,323 ", 464 
2040 , 305 ," 1,656 "," 1,053 ", 948 ," 1,177 ", 368 ," 1,281 ", 448 
2041 , 300 ," 1,626 "," 1,035 ", 934 ," 1,156 ", 360 ," 1,253 ", 439 
2042 , 291 ," 1,574 "," 1,001 ", 905 ," 1,120 ", 349 ," 1,218 ", 427 
