연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 ," 1,513 "," 4,916 "," 1,502 "," 1,882 "," 3,065 "," 1,174 "," 3,877 ", 876 
2025 ," 1,682 "," 5,463 "," 1,672 "," 2,092 "," 3,402 "," 1,302 "," 4,321 ", 971 
2026 ," 1,607 "," 5,220 "," 1,594 "," 2,000 "," 3,258 "," 1,251 "," 4,120 ", 931 
2027 ," 1,521 "," 4,943 "," 1,513 "," 1,894 "," 3,083 "," 1,184 "," 3,904 ", 881 
2028 ," 1,607 "," 5,227 "," 1,596 "," 1,998 "," 3,263 "," 1,248 "," 4,129 ", 932 
2029 ," 1,619 "," 5,260 "," 1,608 "," 2,017 "," 3,281 "," 1,259 "," 4,161 ", 935 
2030 ," 1,568 "," 5,094 "," 1,554 "," 1,947 "," 3,171 "," 1,215 "," 4,022 ", 906 
2031 ," 1,520 "," 4,929 "," 1,508 "," 1,890 "," 3,077 "," 1,181 "," 3,901 ", 877 
2032 ," 1,445 "," 4,686 "," 1,432 "," 1,796 "," 2,925 "," 1,121 "," 3,707 ", 835 
2033 ," 1,451 "," 4,700 "," 1,436 "," 1,804 "," 2,927 "," 1,122 "," 3,717 ", 836 
2034 ," 1,414 "," 4,592 "," 1,404 "," 1,754 "," 2,865 "," 1,094 "," 3,622 ", 816 
2035 ," 1,278 "," 4,167 "," 1,274 "," 1,598 "," 2,601 ", 997 ," 3,288 ", 740 
2036 ," 1,139 "," 3,690 "," 1,125 "," 1,410 "," 2,313 ", 885 ," 2,918 ", 658 
2037 ," 1,038 "," 3,370 "," 1,033 "," 1,292 "," 2,105 ", 806 ," 2,667 ", 599 
2038 , 918 ," 2,989 ", 915 ," 1,144 "," 1,868 ", 717 ," 2,362 ", 535 
2039 , 828 ," 2,677 ", 817 ," 1,025 "," 1,669 ", 640 ," 2,112 ", 478 
2040 , 780 ," 2,533 ", 773 , 970 ," 1,578 ", 606 ," 2,006 ", 450 
2041 , 770 ," 2,503 ", 765 , 961 ," 1,560 ", 596 ," 1,974 ", 447 
2042 , 729 ," 2,363 ", 723 , 902 ," 1,466 ", 565 ," 1,873 ", 420 
