연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 ," 1,534 "," 5,189 "," 1,669 "," 2,049 "," 3,188 "," 1,365 "," 4,076 ", 912 
2025 ," 1,452 "," 4,918 "," 1,584 "," 1,937 "," 3,021 "," 1,294 "," 3,857 ", 863 
2026 ," 1,532 "," 5,199 "," 1,665 "," 2,048 "," 3,188 "," 1,369 "," 4,081 ", 912 
2027 ," 1,542 "," 5,235 "," 1,678 "," 2,062 "," 3,218 "," 1,378 "," 4,109 ", 920 
2028 ," 1,493 "," 5,058 "," 1,627 "," 1,998 "," 3,113 "," 1,333 "," 3,970 ", 883 
2029 ," 1,448 "," 4,913 "," 1,576 "," 1,934 "," 3,009 "," 1,295 "," 3,853 ", 861 
2030 ," 1,373 "," 4,657 "," 1,498 "," 1,841 "," 2,865 "," 1,228 "," 3,662 ", 819 
2031 ," 1,379 "," 4,673 "," 1,504 "," 1,844 "," 2,867 "," 1,231 "," 3,677 ", 821 
2032 ," 1,348 "," 4,564 "," 1,468 "," 1,802 "," 2,799 "," 1,197 "," 3,581 ", 799 
2033 ," 1,224 "," 4,148 "," 1,332 "," 1,633 "," 2,542 "," 1,088 "," 3,246 ", 728 
2034 ," 1,084 "," 3,677 "," 1,176 "," 1,450 "," 2,255 ", 965 ," 2,888 ", 644 
2035 , 990 ," 3,363 "," 1,075 "," 1,325 "," 2,058 ", 884 ," 2,633 ", 589 
2036 , 877 ," 2,977 ", 954 ," 1,167 "," 1,823 ", 783 ," 2,341 ", 523 
2037 , 787 ," 2,659 ", 854 ," 1,056 "," 1,633 ", 701 ," 2,089 ", 466 
2038 , 741 ," 2,524 ", 810 , 992 ," 1,542 ", 664 ," 1,984 ", 443 
2039 , 736 ," 2,487 ", 799 , 980 ," 1,531 ", 655 ," 1,952 ", 439 
2040 , 690 ," 2,348 ", 752 , 927 ," 1,446 ", 620 ," 1,847 ", 413 
2041 , 675 ," 2,286 ", 731 , 906 ," 1,404 ", 602 ," 1,793 ", 400 
2042 , 653 ," 2,216 ", 709 , 876 ," 1,363 ", 585 ," 1,749 ", 390 
