연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 , 727 ," 4,915 "," 2,486 "," 2,006 "," 3,780 ", 756 ," 5,109 ", 620 
2025 , 737 ," 4,942 "," 2,502 "," 2,018 "," 3,808 ", 769 ," 5,146 ", 631 
2026 , 708 ," 4,780 "," 2,427 "," 1,952 "," 3,685 ", 738 ," 4,981 ", 606 
2027 , 691 ," 4,634 "," 2,351 "," 1,898 "," 3,569 ", 716 ," 4,827 ", 584 
2028 , 655 ," 4,409 "," 2,230 "," 1,801 "," 3,386 ", 683 ," 4,590 ", 558 
2029 , 656 ," 4,424 "," 2,237 "," 1,806 "," 3,402 ", 681 ," 4,595 ", 561 
2030 , 643 ," 4,322 "," 2,183 "," 1,761 "," 3,315 ", 662 ," 4,489 ", 545 
2031 , 582 ," 3,917 "," 1,976 "," 1,603 "," 3,009 ", 606 ," 4,079 ", 496 
2032 , 516 ," 3,469 "," 1,761 "," 1,423 "," 2,670 ", 541 ," 3,612 ", 437 
2033 , 473 ," 3,173 "," 1,611 "," 1,297 "," 2,437 ", 491 ," 3,299 ", 396 
2034 , 418 ," 2,812 "," 1,423 "," 1,148 "," 2,164 ", 435 ," 2,925 ", 355 
2035 , 375 ," 2,523 "," 1,276 "," 1,029 "," 1,937 ", 390 ," 2,615 ", 315 
2036 , 353 ," 2,382 "," 1,203 ", 978 ," 1,832 ", 374 ," 2,474 ", 302 
2037 , 351 ," 2,358 "," 1,189 ", 959 ," 1,812 ", 367 ," 2,447 ", 298 
2038 , 330 ," 2,219 "," 1,123 ", 909 ," 1,715 ", 346 ," 2,304 ", 281 
2039 , 319 ," 2,152 "," 1,087 ", 886 ," 1,661 ", 338 ," 2,253 ", 274 
2040 , 312 ," 2,096 "," 1,068 ", 859 ," 1,610 ", 325 ," 2,183 ", 266 
2041 , 301 ," 2,013 "," 1,021 ", 819 ," 1,553 ", 310 ," 2,094 ", 255 
2042 , 286 ," 1,929 ", 979 , 786 ," 1,485 ", 297 ," 2,007 ", 243 
