연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 , 531 ," 3,805 "," 2,644 "," 2,299 "," 2,720 ", 811 ," 2,908 ", 881 
2025 , 501 ," 3,346 "," 2,267 "," 2,021 "," 2,405 ", 778 ," 2,528 ", 871 
2026 , 512 ," 3,086 "," 2,007 "," 1,801 "," 2,146 ", 710 ," 2,309 ", 859 
2027 , 463 ," 2,713 "," 1,814 "," 1,563 "," 1,902 ", 642 ," 2,071 ", 764 
2028 , 439 ," 2,402 "," 1,616 "," 1,431 "," 1,688 ", 565 ," 1,859 ", 684 
2029 , 424 ," 2,289 "," 1,519 "," 1,343 "," 1,585 ", 527 ," 1,750 ", 659 
2030 , 419 ," 2,261 "," 1,502 "," 1,323 "," 1,566 ", 529 ," 1,731 ", 661 
2031 , 397 ," 2,121 "," 1,416 "," 1,250 "," 1,475 ", 498 ," 1,632 ", 621 
2032 , 384 ," 2,065 "," 1,375 "," 1,221 "," 1,435 ", 484 ," 1,585 ", 606 
2033 , 375 ," 2,014 "," 1,337 "," 1,183 "," 1,387 ", 469 ," 1,543 ", 589 
2034 , 360 ," 1,935 "," 1,281 "," 1,137 "," 1,338 ", 452 ," 1,473 ", 565 
2035 , 344 ," 1,850 "," 1,227 "," 1,090 "," 1,277 ", 432 ," 1,417 ", 539 
2036 , 332 ," 1,772 "," 1,184 "," 1,044 "," 1,229 ", 416 ," 1,362 ", 518 
2037 , 321 ," 1,725 "," 1,152 "," 1,018 "," 1,199 ", 404 ," 1,323 ", 507 
2038 , 313 ," 1,691 "," 1,125 ", 990 ," 1,175 ", 397 ," 1,294 ", 496 
2039 , 303 ," 1,634 "," 1,087 ", 963 ," 1,130 ", 386 ," 1,251 ", 479 
2040 , 300 ," 1,597 "," 1,070 ", 942 ," 1,111 ", 378 ," 1,225 ", 470 
2041 , 287 ," 1,547 "," 1,031 ", 910 ," 1,076 ", 367 ," 1,184 ", 455 
2042 , 279 ," 1,485 ", 986 , 881 ," 1,036 ", 352 ," 1,143 ", 437 
