연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 , 732 ," 4,965 "," 2,709 "," 2,068 "," 3,721 ", 769 ," 4,930 ", 654 
2025 , 753 ," 5,092 "," 2,781 "," 2,123 "," 3,815 ", 787 ," 5,059 ", 669 
2026 , 676 ," 4,580 "," 2,502 "," 1,909 "," 3,431 ", 702 ," 4,548 ", 603 
2027 , 683 ," 4,624 "," 2,527 "," 1,924 "," 3,462 ", 717 ," 4,591 ", 610 
2028 , 656 ," 4,435 "," 2,419 "," 1,846 "," 3,330 ", 682 ," 4,413 ", 585 
2029 , 638 ," 4,331 "," 2,359 "," 1,803 "," 3,246 ", 668 ," 4,302 ", 569 
2030 , 581 ," 3,930 "," 2,140 "," 1,639 "," 2,951 ", 607 ," 3,905 ", 517 
2031 , 514 ," 3,487 "," 1,906 "," 1,452 "," 2,614 ", 536 ," 3,464 ", 458 
2032 , 468 ," 3,190 "," 1,737 "," 1,324 "," 2,383 ", 491 ," 3,163 ", 417 
2033 , 416 ," 2,828 "," 1,537 "," 1,177 "," 2,112 ", 436 ," 2,798 ", 372 
2034 , 373 ," 2,529 "," 1,376 "," 1,053 "," 1,894 ", 390 ," 2,513 ", 333 
2035 , 354 ," 2,391 "," 1,305 ", 994 ," 1,794 ", 369 ," 2,374 ", 317 
2036 , 348 ," 2,371 "," 1,286 ", 981 ," 1,773 ", 364 ," 2,343 ", 313 
2037 , 331 ," 2,229 "," 1,215 ", 928 ," 1,674 ", 343 ," 2,211 ", 292 
2038 , 319 ," 2,168 "," 1,184 ", 906 ," 1,621 ", 339 ," 2,147 ", 284 
2039 , 311 ," 2,108 "," 1,146 ", 875 ," 1,579 ", 329 ," 2,091 ", 276 
2040 , 299 ," 2,019 "," 1,103 ", 842 ," 1,515 ", 313 ," 2,010 ", 265 
2041 , 290 ," 1,931 "," 1,056 ", 807 ," 1,447 ", 300 ," 1,922 ", 254 
2042 , 275 ," 1,857 "," 1,013 ", 776 ," 1,397 ", 289 ," 1,847 ", 243 
