연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 , 710 ," 5,138 "," 2,881 "," 2,796 "," 3,618 "," 1,077 "," 4,366 ", 926 
2025 , 678 ," 4,586 "," 2,497 "," 2,478 "," 3,250 "," 1,046 "," 3,872 ", 947 
2026 , 762 ," 4,694 "," 2,425 "," 2,443 "," 3,208 "," 1,054 "," 3,909 "," 1,075 "
2027 , 731 ," 4,459 "," 2,362 "," 2,285 "," 3,055 "," 1,032 "," 3,785 "," 1,010 "
2028 , 767 ," 4,298 "," 2,285 "," 2,287 "," 2,962 ", 989 ," 3,697 ", 987 
2029 , 697 ," 3,934 "," 2,074 "," 2,059 "," 2,675 ", 879 ," 3,336 ", 913 
2030 , 633 ," 3,469 "," 1,825 "," 1,830 "," 2,372 ", 793 ," 2,959 ", 838 
2031 , 576 ," 3,172 "," 1,667 "," 1,669 "," 2,170 ", 725 ," 2,703 ", 767 
2032 , 512 ," 2,812 "," 1,479 "," 1,477 "," 1,914 ", 643 ," 2,396 ", 679 
2033 , 457 ," 2,521 "," 1,322 "," 1,323 "," 1,723 ", 576 ," 2,143 ", 606 
2034 , 434 ," 2,384 "," 1,254 "," 1,253 "," 1,629 ", 545 ," 2,028 ", 574 
2035 , 430 ," 2,356 "," 1,236 "," 1,235 "," 1,611 ", 538 ," 2,004 ", 568 
2036 , 404 ," 2,221 "," 1,166 "," 1,169 "," 1,521 ", 508 ," 1,891 ", 535 
2037 , 392 ," 2,162 "," 1,134 "," 1,136 "," 1,482 ", 494 ," 1,843 ", 520 
2038 , 381 ," 2,100 "," 1,103 "," 1,104 "," 1,435 ", 478 ," 1,789 ", 505 
2039 , 366 ," 2,015 "," 1,059 "," 1,057 "," 1,375 ", 459 ," 1,716 ", 487 
2040 , 349 ," 1,927 "," 1,012 "," 1,013 "," 1,321 ", 441 ," 1,641 ", 465 
2041 , 338 ," 1,861 ", 975 , 973 ," 1,269 ", 425 ," 1,585 ", 451 
2042 , 329 ," 1,808 ", 948 , 949 ," 1,236 ", 413 ," 1,543 ", 437 
