연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 , 619 ," 4,561 "," 2,725 "," 2,533 "," 3,233 ", 949 ," 3,852 ", 889 
2025 , 666 ," 4,572 "," 2,640 "," 2,539 "," 3,245 "," 1,037 "," 3,831 "," 1,017 "
2026 , 713 ," 4,421 "," 2,457 "," 2,359 "," 3,055 ", 992 ," 3,654 "," 1,067 "
2027 , 695 ," 4,280 "," 2,431 "," 2,269 "," 2,964 ", 988 ," 3,604 "," 1,042 "
2028 , 680 ," 3,847 "," 2,191 "," 2,108 "," 2,672 ", 879 ," 3,286 ", 931 
2029 , 619 ," 3,431 "," 1,928 "," 1,853 "," 2,356 ", 779 ," 2,896 ", 854 
2030 , 565 ," 3,134 "," 1,762 "," 1,695 "," 2,141 ", 714 ," 2,652 ", 794 
2031 , 500 ," 2,778 "," 1,562 "," 1,499 "," 1,896 ", 633 ," 2,349 ", 703 
2032 , 447 ," 2,488 "," 1,398 "," 1,345 "," 1,697 ", 566 ," 2,104 ", 629 
2033 , 422 ," 2,352 "," 1,321 "," 1,274 "," 1,604 ", 534 ," 1,989 ", 594 
2034 , 417 ," 2,325 "," 1,305 "," 1,259 "," 1,587 ", 530 ," 1,965 ", 588 
2035 , 394 ," 2,192 "," 1,233 "," 1,188 "," 1,495 ", 497 ," 1,853 ", 555 
2036 , 384 ," 2,133 "," 1,201 "," 1,153 "," 1,456 ", 483 ," 1,803 ", 539 
2037 , 373 ," 2,075 "," 1,167 "," 1,125 "," 1,418 ", 472 ," 1,754 ", 526 
2038 , 358 ," 1,990 "," 1,118 "," 1,077 "," 1,358 ", 451 ," 1,682 ", 503 
2039 , 344 ," 1,904 "," 1,069 "," 1,030 "," 1,300 ", 433 ," 1,611 ", 483 
2040 , 331 ," 1,829 "," 1,033 ", 990 ," 1,251 ", 414 ," 1,547 ", 463 
2041 , 323 ," 1,780 "," 1,003 ", 964 ," 1,218 ", 404 ," 1,504 ", 451 
2042 , 313 ," 1,746 ", 980 , 945 ," 1,193 ", 396 ," 1,477 ", 444 
