연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 638 ," 4,374 "," 3,044 "," 2,641 "," 3,188 ", 859 ," 3,309 ", 911 
2024 , 559 ," 3,946 "," 2,741 "," 2,385 "," 2,821 ", 837 ," 3,020 ", 912 
2025 , 525 ," 3,477 "," 2,353 "," 2,092 "," 2,497 ", 806 ," 2,627 ", 904 
2026 , 536 ," 3,212 "," 2,087 "," 1,867 "," 2,232 ", 735 ," 2,397 ", 900 
2027 , 475 ," 2,815 "," 1,873 "," 1,618 "," 1,965 ", 665 ," 2,145 ", 792 
2028 , 456 ," 2,491 "," 1,670 "," 1,480 "," 1,749 ", 586 ," 1,929 ", 703 
2029 , 438 ," 2,377 "," 1,572 "," 1,392 "," 1,646 ", 549 ," 1,815 ", 683 
2030 , 397 ," 2,129 "," 1,407 "," 1,248 "," 1,471 ", 494 ," 1,628 ", 624 
2031 , 397 ," 2,125 "," 1,405 "," 1,248 "," 1,468 ", 493 ," 1,625 ", 624 
2032 , 418 ," 2,239 "," 1,481 "," 1,314 "," 1,547 ", 520 ," 1,711 ", 657 
2033 , 439 ," 2,349 "," 1,554 "," 1,379 "," 1,623 ", 546 ," 1,795 ", 690 
2034 , 458 ," 2,452 "," 1,622 "," 1,439 "," 1,694 ", 570 ," 1,874 ", 720 
2035 , 475 ," 2,544 "," 1,683 "," 1,494 "," 1,758 ", 591 ," 1,944 ", 747 
2036 , 490 ," 2,624 "," 1,736 "," 1,541 "," 1,813 ", 610 ," 2,005 ", 770 
2037 , 503 ," 2,691 "," 1,780 "," 1,580 "," 1,859 ", 625 ," 2,056 ", 790 
2038 , 512 ," 2,742 "," 1,814 "," 1,609 "," 1,894 ", 637 ," 2,095 ", 805 
2039 , 519 ," 2,779 "," 1,838 "," 1,631 "," 1,920 ", 646 ," 2,124 ", 816 
2040 , 524 ," 2,804 "," 1,855 "," 1,646 "," 1,937 ", 652 ," 2,143 ", 823 
2041 , 527 ," 2,820 "," 1,866 "," 1,655 "," 1,948 ", 655 ," 2,155 ", 828 
2042 , 519 ," 2,781 "," 1,840 "," 1,633 "," 1,921 ", 646 ," 2,125 ", 816 
