연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 653 ," 4,616 "," 3,061 "," 2,685 "," 3,476 ", 804 ," 3,429 ", 765 
2024 , 628 ," 4,439 "," 2,941 "," 2,582 "," 3,342 ", 773 ," 3,298 ", 736 
2025 , 570 ," 4,030 "," 2,673 "," 2,344 "," 3,034 ", 702 ," 2,994 ", 668 
2026 , 506 ," 3,573 "," 2,369 "," 2,078 "," 2,690 ", 622 ," 2,654 ", 592 
2027 , 462 ," 3,264 "," 2,160 "," 1,898 "," 2,458 ", 569 ," 2,425 ", 541 
2028 , 409 ," 2,893 "," 1,922 "," 1,682 "," 2,178 ", 504 ," 2,149 ", 480 
2029 , 367 ," 2,591 "," 1,720 "," 1,507 "," 1,951 ", 451 ," 1,925 ", 430 
2030 , 347 ," 2,452 "," 1,628 "," 1,426 "," 1,846 ", 427 ," 1,821 ", 407 
2031 , 311 ," 2,200 "," 1,463 "," 1,280 "," 1,657 ", 383 ," 1,635 ", 365 
2032 , 311 ," 2,197 "," 1,461 "," 1,278 "," 1,655 ", 383 ," 1,632 ", 364 
2033 , 328 ," 2,314 "," 1,538 "," 1,346 "," 1,742 ", 403 ," 1,719 ", 384 
2034 , 344 ," 2,428 "," 1,614 "," 1,412 "," 1,828 ", 423 ," 1,804 ", 403 
2035 , 359 ," 2,534 "," 1,684 "," 1,474 "," 1,908 ", 442 ," 1,883 ", 420 
2036 , 372 ," 2,630 "," 1,747 "," 1,530 "," 1,980 ", 458 ," 1,954 ", 436 
2037 , 384 ," 2,713 "," 1,802 "," 1,578 "," 2,043 ", 473 ," 2,015 ", 450 
2038 , 394 ," 2,782 "," 1,848 "," 1,618 "," 2,094 ", 485 ," 2,066 ", 461 
2039 , 401 ," 2,834 "," 1,883 "," 1,648 "," 2,134 ", 494 ," 2,105 ", 470 
2040 , 407 ," 2,873 "," 1,909 "," 1,671 "," 2,163 ", 500 ," 2,134 ", 476 
2041 , 410 ," 2,899 "," 1,927 "," 1,686 "," 2,183 ", 505 ," 2,154 ", 481 
2042 , 413 ," 2,915 "," 1,937 "," 1,696 "," 2,195 ", 508 ," 2,166 ", 483 
