연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 661 ," 4,664 "," 3,009 "," 2,682 "," 3,461 ", 815 ," 3,607 ", 774 
2024 , 655 ," 4,625 "," 2,980 "," 2,659 "," 3,432 ", 808 ," 3,577 ", 767 
2025 , 630 ," 4,447 "," 2,870 "," 2,557 "," 3,301 ", 777 ," 3,440 ", 738 
2026 , 572 ," 4,038 "," 2,604 "," 2,322 "," 2,997 ", 705 ," 3,123 ", 670 
2027 , 507 ," 3,580 "," 2,305 "," 2,058 "," 2,657 ", 625 ," 2,769 ", 594 
2028 , 463 ," 3,270 "," 2,113 "," 1,880 "," 2,427 ", 571 ," 2,529 ", 543 
2029 , 411 ," 2,898 "," 1,873 "," 1,666 "," 2,151 ", 506 ," 2,242 ", 481 
2030 , 368 ," 2,596 "," 1,678 "," 1,493 "," 1,926 ", 453 ," 2,008 ", 431 
2031 , 348 ," 2,456 "," 1,587 "," 1,412 "," 1,823 ", 429 ," 1,900 ", 408 
2032 , 312 ," 2,204 "," 1,426 "," 1,268 "," 1,636 ", 385 ," 1,705 ", 366 
2033 , 312 ," 2,202 "," 1,423 "," 1,266 "," 1,634 ", 385 ," 1,703 ", 365 
2034 , 328 ," 2,319 "," 1,499 "," 1,333 "," 1,721 ", 405 ," 1,793 ", 385 
2035 , 345 ," 2,433 "," 1,573 "," 1,399 "," 1,805 ", 425 ," 1,882 ", 404 
2036 , 360 ," 2,539 "," 1,642 "," 1,460 "," 1,885 ", 444 ," 1,964 ", 421 
2037 , 373 ," 2,635 "," 1,703 "," 1,515 "," 1,956 ", 460 ," 2,038 ", 437 
2038 , 385 ," 2,718 "," 1,757 "," 1,563 "," 2,017 ", 475 ," 2,102 ", 451 
2039 , 395 ," 2,787 "," 1,802 "," 1,602 "," 2,068 ", 487 ," 2,156 ", 462 
2040 , 402 ," 2,840 "," 1,835 "," 1,633 "," 2,107 ", 496 ," 2,196 ", 471 
2041 , 408 ," 2,878 "," 1,861 "," 1,655 "," 2,136 ", 503 ," 2,226 ", 478 
2042 , 412 ," 2,905 "," 1,878 "," 1,670 "," 2,156 ", 507 ," 2,247 ", 482 
