연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 713 ," 5,019 "," 2,817 "," 2,727 "," 3,598 ", 964 ," 4,226 ", 794 
2024 , 710 ," 5,142 "," 2,876 "," 2,796 "," 3,616 "," 1,066 "," 4,377 ", 925 
2025 , 674 ," 4,586 "," 2,482 "," 2,480 "," 3,240 "," 1,037 "," 3,862 ", 951 
2026 , 764 ," 4,699 "," 2,429 "," 2,452 "," 3,215 "," 1,049 "," 3,911 "," 1,068 "
2027 , 758 ," 4,610 "," 2,448 "," 2,373 "," 3,167 "," 1,062 "," 3,911 "," 1,050 "
2028 , 781 ," 4,382 "," 2,338 "," 2,334 "," 3,028 "," 1,005 "," 3,774 "," 1,000 "
2029 , 719 ," 4,011 "," 2,110 "," 2,106 "," 2,733 ", 904 ," 3,410 ", 937 
2030 , 643 ," 3,548 "," 1,865 "," 1,864 "," 2,414 ", 803 ," 3,021 ", 848 
2031 , 589 ," 3,240 "," 1,701 "," 1,706 "," 2,203 ", 734 ," 2,759 ", 776 
2032 , 522 ," 2,873 "," 1,510 "," 1,512 "," 1,954 ", 651 ," 2,445 ", 688 
2033 , 467 ," 2,573 "," 1,352 "," 1,354 "," 1,749 ", 583 ," 2,190 ", 616 
2034 , 442 ," 2,435 "," 1,279 "," 1,281 "," 1,656 ", 552 ," 2,072 ", 583 
2035 , 397 ," 2,185 "," 1,148 "," 1,150 "," 1,486 ", 495 ," 1,860 ", 523 
2036 , 396 ," 2,182 "," 1,147 "," 1,148 "," 1,484 ", 495 ," 1,857 ", 523 
2037 , 417 ," 2,298 "," 1,208 "," 1,209 "," 1,563 ", 521 ," 1,956 ", 550 
2038 , 438 ," 2,411 "," 1,267 "," 1,269 "," 1,640 ", 547 ," 2,052 ", 577 
2039 , 457 ," 2,517 "," 1,323 "," 1,325 "," 1,712 ", 571 ," 2,142 ", 603 
2040 , 474 ," 2,612 "," 1,372 "," 1,374 "," 1,776 ", 592 ," 2,223 ", 625 
2041 , 489 ," 2,694 "," 1,416 "," 1,418 "," 1,832 ", 611 ," 2,293 ", 645 
2042 , 501 ," 2,762 "," 1,452 "," 1,454 "," 1,878 ", 626 ," 2,351 ", 661 
