연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 641 ," 4,449 "," 3,066 "," 2,641 "," 3,267 ", 804 ," 3,262 ", 822 
2024 , 582 ," 4,040 "," 2,781 "," 2,398 "," 2,966 ", 730 ," 2,961 ", 747 
2025 , 516 ," 3,581 "," 2,468 "," 2,126 "," 2,630 ", 647 ," 2,625 ", 662 
2026 , 471 ," 3,272 "," 2,254 "," 1,942 "," 2,402 ", 591 ," 2,398 ", 605 
2027 , 418 ," 2,899 "," 1,995 "," 1,721 "," 2,129 ", 524 ," 2,125 ", 536 
2028 , 374 ," 2,597 "," 1,792 "," 1,542 "," 1,907 ", 469 ," 1,904 ", 480 
2029 , 354 ," 2,458 "," 1,696 "," 1,459 "," 1,805 ", 444 ," 1,802 ", 454 
2030 , 318 ," 2,205 "," 1,523 "," 1,309 "," 1,619 ", 398 ," 1,617 ", 408 
2031 , 317 ," 2,203 "," 1,521 "," 1,308 "," 1,617 ", 398 ," 1,615 ", 407 
2032 , 334 ," 2,320 "," 1,601 "," 1,377 "," 1,703 ", 419 ," 1,700 ", 429 
2033 , 350 ," 2,434 "," 1,681 "," 1,445 "," 1,787 ", 440 ," 1,784 ", 450 
2034 , 366 ," 2,540 "," 1,754 "," 1,508 "," 1,865 ", 459 ," 1,862 ", 470 
2035 , 380 ," 2,636 "," 1,821 "," 1,565 "," 1,936 ", 476 ," 1,933 ", 487 
2036 , 392 ," 2,719 "," 1,877 "," 1,614 "," 1,997 ", 491 ," 1,993 ", 503 
2037 , 401 ," 2,788 "," 1,925 "," 1,655 "," 2,047 ", 504 ," 2,044 ", 515 
2038 , 409 ," 2,841 "," 1,961 "," 1,687 "," 2,086 ", 513 ," 2,082 ", 525 
2039 , 415 ," 2,879 "," 1,987 "," 1,709 "," 2,114 ", 520 ," 2,111 ", 532 
2040 , 418 ," 2,906 "," 2,006 "," 1,725 "," 2,134 ", 525 ," 2,130 ", 537 
2041 , 421 ," 2,922 "," 2,018 "," 1,735 "," 2,146 ", 528 ," 2,142 ", 540 
2042 , 415 ," 2,882 "," 1,990 "," 1,711 "," 2,116 ", 521 ," 2,112 ", 533 
