연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 720 ," 5,110 "," 3,057 "," 2,846 "," 3,685 ", 983 ," 4,270 ", 879 
2024 , 623 ," 4,556 "," 2,717 "," 2,540 "," 3,223 ", 946 ," 3,849 ", 885 
2025 , 669 ," 4,591 "," 2,656 "," 2,545 "," 3,263 "," 1,041 "," 3,836 "," 1,020 "
2026 , 743 ," 4,602 "," 2,547 "," 2,462 "," 3,167 "," 1,031 "," 3,800 "," 1,115 "
2027 , 715 ," 4,377 "," 2,485 "," 2,312 "," 3,025 "," 1,012 "," 3,686 "," 1,064 "
2028 , 696 ," 3,928 "," 2,243 "," 2,147 "," 2,730 ", 904 ," 3,358 ", 957 
2029 , 626 ," 3,511 "," 1,976 "," 1,891 "," 2,406 ", 794 ," 2,962 ", 873 
2030 , 577 ," 3,201 "," 1,801 "," 1,725 "," 2,190 ", 726 ," 2,705 ", 814 
2031 , 513 ," 2,835 "," 1,594 "," 1,531 "," 1,939 ", 644 ," 2,396 ", 723 
2032 , 459 ," 2,540 "," 1,430 "," 1,371 "," 1,737 ", 578 ," 2,146 ", 647 
2033 , 435 ," 2,404 "," 1,353 "," 1,298 "," 1,644 ", 547 ," 2,030 ", 613 
2034 , 435 ," 2,404 "," 1,353 "," 1,298 "," 1,644 ", 547 ," 2,030 ", 613 
2035 , 389 ," 2,155 "," 1,213 "," 1,163 "," 1,474 ", 490 ," 1,820 ", 549 
2036 , 410 ," 2,269 "," 1,277 "," 1,225 "," 1,552 ", 516 ," 1,916 ", 578 
2037 , 430 ," 2,381 "," 1,340 "," 1,285 "," 1,628 ", 541 ," 2,011 ", 607 
2038 , 449 ," 2,485 "," 1,399 "," 1,342 "," 1,699 ", 565 ," 2,099 ", 633 
2039 , 466 ," 2,579 "," 1,451 "," 1,392 "," 1,764 ", 586 ," 2,178 ", 657 
2040 , 481 ," 2,660 "," 1,497 "," 1,436 "," 1,819 ", 605 ," 2,247 ", 678 
2041 , 493 ," 2,727 "," 1,535 "," 1,472 "," 1,865 ", 620 ," 2,304 ", 695 
2042 , 502 ," 2,779 "," 1,564 "," 1,500 "," 1,900 ", 632 ," 2,347 ", 708 
