연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 723 ," 5,196 "," 3,083 "," 2,847 "," 3,776 ", 920 ," 4,216 ", 779 
2024 , 649 ," 4,661 "," 2,762 "," 2,554 "," 3,387 ", 825 ," 3,783 ", 699 
2025 , 658 ," 4,725 "," 2,804 "," 2,589 "," 3,434 ", 837 ," 3,834 ", 708 
2026 , 652 ," 4,686 "," 2,780 "," 2,568 "," 3,405 ", 830 ," 3,802 ", 702 
2027 , 627 ," 4,506 "," 2,670 "," 2,469 "," 3,274 ", 798 ," 3,656 ", 675 
2028 , 569 ," 4,091 "," 2,431 "," 2,242 "," 2,973 ", 724 ," 3,320 ", 613 
2029 , 505 ," 3,627 "," 2,156 "," 1,987 "," 2,635 ", 642 ," 2,943 ", 543 
2030 , 461 ," 3,313 "," 1,970 "," 1,815 "," 2,407 ", 587 ," 2,688 ", 496 
2031 , 409 ," 2,936 "," 1,746 "," 1,609 "," 2,134 ", 520 ," 2,383 ", 440 
2032 , 366 ," 2,630 "," 1,564 "," 1,441 "," 1,911 ", 466 ," 2,134 ", 394 
2033 , 346 ," 2,489 "," 1,480 "," 1,364 "," 1,808 ", 441 ," 2,019 ", 373 
2034 , 311 ," 2,234 "," 1,328 "," 1,224 "," 1,623 ", 395 ," 1,813 ", 335 
2035 , 310 ," 2,231 "," 1,327 "," 1,222 "," 1,621 ", 395 ," 1,810 ", 334 
2036 , 327 ," 2,349 "," 1,395 "," 1,287 "," 1,707 ", 416 ," 1,906 ", 352 
2037 , 343 ," 2,465 "," 1,466 "," 1,351 "," 1,791 ", 436 ," 2,000 ", 369 
2038 , 358 ," 2,573 "," 1,529 "," 1,410 "," 1,869 ", 455 ," 2,088 ", 386 
2039 , 372 ," 2,670 "," 1,587 "," 1,463 "," 1,940 ", 473 ," 2,167 ", 400 
2040 , 383 ," 2,754 "," 1,638 "," 1,509 "," 2,001 ", 488 ," 2,235 ", 413 
2041 , 393 ," 2,824 "," 1,678 "," 1,547 "," 2,052 ", 500 ," 2,291 ", 423 
2042 , 400 ," 2,877 "," 1,710 "," 1,576 "," 2,090 ", 509 ," 2,334 ", 431 
