연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 658 ," 4,585 "," 2,985 "," 2,681 "," 3,379 ", 872 ," 3,657 ", 866 
2024 , 629 ," 4,519 "," 2,935 "," 2,645 "," 3,267 ", 930 ," 3,644 ", 955 
2025 , 641 ," 4,319 "," 2,728 "," 2,515 "," 3,137 ", 973 ," 3,441 "," 1,036 "
2026 , 652 ," 3,965 "," 2,400 "," 2,230 "," 2,789 ", 881 ," 3,121 "," 1,031 "
2027 , 578 ," 3,476 "," 2,156 "," 1,932 "," 2,456 ", 798 ," 2,793 ", 907 
2028 , 566 ," 3,138 "," 1,960 "," 1,803 "," 2,230 ", 717 ," 2,561 ", 821 
2029 , 509 ," 2,804 "," 1,727 "," 1,588 "," 1,965 ", 629 ," 2,257 ", 748 
2030 , 460 ," 2,506 "," 1,543 "," 1,421 "," 1,753 ", 565 ," 2,021 ", 683 
2031 , 434 ," 2,373 "," 1,463 "," 1,349 "," 1,664 ", 531 ," 1,911 ", 639 
2032 , 389 ," 2,131 "," 1,314 "," 1,211 "," 1,494 ", 478 ," 1,715 ", 574 
2033 , 389 ," 2,129 "," 1,313 "," 1,209 "," 1,492 ", 477 ," 1,713 ", 573 
2034 , 409 ," 2,242 "," 1,382 "," 1,273 "," 1,571 ", 502 ," 1,804 ", 604 
2035 , 430 ," 2,352 "," 1,450 "," 1,336 "," 1,649 ", 527 ," 1,893 ", 633 
2036 , 448 ," 2,455 "," 1,514 "," 1,394 "," 1,721 ", 550 ," 1,976 ", 661 
2037 , 465 ," 2,548 "," 1,571 "," 1,447 "," 1,786 ", 571 ," 2,,050 ", 686 
2038 , 480 ," 2,628 "," 1,620 "," 1,492 "," 1,842 ", 589 ," 2,115 ", 707 
2039 , 492 ," 2,694 "," 1,662 "," 1,530 "," 1,889 ", 604 ," 2,169 ", 725 
2040 , 501 ," 2,745 "," 1,693 "," 1,559 "," 1,924 ", 615 ," 2,209 ", 739 
2041 , 508 ," 2,783 "," 1,716 "," 1,580 "," 1,951 ", 624 ," 2,240 ", 749 
2042 , 513 ," 2,809 "," 1,732 "," 1,595 "," 1,969 ", 629 ," 2,260 ", 756 
