연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 717 ," 4,993 "," 2,699 "," 2,070 "," 3,740 ", 728 ," 5,025 ", 645 
2024 , 716 ," 4,978 "," 2,691 "," 2,063 "," 3,725 ", 727 ," 5,007 ", 641 
2025 , 739 ," 5,131 "," 2,773 "," 2,127 "," 3,841 ", 751 ," 5,163 ", 663 
2026 , 663 ," 4,602 "," 2,488 "," 1,907 "," 3,445 ", 673 ," 4,630 ", 593 
2027 , 671 ," 4,669 "," 2,523 "," 1,934 "," 3,496 ", 683 ," 4,695 ", 602 
2028 , 665 ," 4,626 "," 2,500 "," 1,918 "," 3,465 ", 677 ," 4,658 ", 597 
2029 , 640 ," 4,454 "," 2,406 "," 1,845 "," 3,335 ", 651 ," 4,481 ", 575 
2030 , 582 ," 4,040 "," 2,183 "," 1,677 "," 3,026 ", 591 ," 4,066 ", 522 
2031 , 514 ," 3,586 "," 1,935 "," 1,485 "," 2,681 ", 523 ," 3,603 ", 461 
2032 , 471 ," 3,274 "," 1,771 "," 1,357 "," 2,447 ", 479 ," 3,293 ", 422 
2033 , 416 ," 2,900 "," 1,569 "," 1,203 "," 2,172 ", 425 ," 2,920 ", 375 
2034 , 374 ," 2,596 "," 1,403 "," 1,075 "," 1,945 ", 381 ," 2,613 ", 335 
2035 , 354 ," 2,456 "," 1,327 "," 1,019 "," 1,842 ", 359 ," 2,473 ", 318 
2036 , 321 ," 2,240 "," 1,210 ", 928 ," 1,677 ", 327 ," 2,252 ", 289 
2037 , 327 ," 2,271 "," 1,227 ", 942 ," 1,700 ", 330 ," 2,285 ", 294 
2038 , 349 ," 2,435 "," 1,317 "," 1,009 "," 1,824 ", 355 ," 2,453 ", 313 
2039 , 375 ," 2,607 "," 1,411 "," 1,081 "," 1,952 ", 381 ," 2,623 ", 336 
2040 , 398 ," 2,770 "," 1,497 "," 1,149 "," 2,071 ", 406 ," 2,787 ", 357 
2041 , 419 ," 2,923 "," 1,580 "," 1,212 "," 2,187 ", 426 ," 2,940 ", 376 
2042 , 440 ," 3,061 "," 1,656 "," 1,269 "," 2,295 ", 449 ," 3,081 ", 395 
