연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 641 ," 4,449 "," 3,066 "," 2,641 "," 3,267 ", 804 ," 3,262 ", 822 
2024 , 582 ," 4,040 "," 2,790 "," 2,398 "," 2,966 ", 730 ," 2,961 ", 747 
2025 , 516 ," 3,581 "," 2,473 "," 2,126 "," 2,630 ", 647 ," 2,625 ", 662 
2026 , 471 ," 3,272 "," 2,259 "," 1,942 "," 2,402 ", 591 ," 2,398 ", 605 
2027 , 418 ," 2,899 "," 2,003 "," 1,721 "," 2,129 ", 524 ," 2,125 ", 536 
2028 , 374 ," 2,597 "," 1,793 "," 1,542 "," 1,907 ", 469 ," 1,904 ", 480 
2029 , 354 ," 2,458 "," 1,696 "," 1,459 "," 1,805 ", 444 ," 1,802 ", 454 
2030 , 322 ," 2,238 "," 1,545 "," 1,329 "," 1,643 ", 404 ," 1,641 ", 414 
2031 , 327 ," 2,272 "," 1,569 "," 1,349 "," 1,668 ", 410 ," 1,665 ", 420 
2032 , 351 ," 2,438 "," 1,683 "," 1,448 "," 1,790 ", 440 ," 1,787 ", 451 
2033 , 375 ," 2,606 "," 1,799 "," 1,547 "," 1,914 ", 471 ," 1,910 ", 482 
2034 , 399 ," 2,769 "," 1,912 "," 1,644 "," 2,034 ", 500 ," 2,030 ", 512 
2035 , 421 ," 2,923 "," 2,018 "," 1,735 "," 2,146 ", 528 ," 2,142 ", 540 
2036 , 441 ," 3,062 "," 2,114 "," 1,818 "," 2,248 ", 553 ," 2,244 ", 566 
2037 , 458 ," 3,181 "," 2,196 "," 1,889 "," 2,336 ", 575 ," 2,332 ", 588 
2038 , 472 ," 3,279 "," 2,264 "," 1,947 "," 2,408 ", 592 ," 2,403 ", 606 
2039 , 483 ," 3,352 "," 2,314 "," 1,990 "," 2,461 ", 605 ," 2,457 ", 620 
2040 , 490 ," 3,402 "," 2,349 "," 2,020 "," 2,498 ", 615 ," 2,494 ", 629 
2041 , 494 ," 3,430 "," 2,369 "," 2,036 "," 2,519 ", 620 ," 2,514 ", 634 
2042 , 486 ," 3,378 "," 2,333 "," 2,005 "," 2,480 ", 610 ," 2,476 ", 624 
