연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 661 ," 4,664 "," 3,009 "," 2,682 "," 3,461 ", 815 ," 3,607 ", 774 
2024 , 655 ," 4,625 "," 2,989 "," 2,659 "," 3,432 ", 808 ," 3,577 ", 767 
2025 , 630 ," 4,447 "," 2,875 "," 2,557 "," 3,301 ", 777 ," 3,440 ", 738 
2026 , 572 ," 4,038 "," 2,610 "," 2,322 "," 2,997 ", 705 ," 3,123 ", 670 
2027 , 507 ," 3,580 "," 2,314 "," 2,058 "," 2,657 ", 625 ," 2,769 ", 594 
2028 , 463 ," 3,270 "," 2,114 "," 1,880 "," 2,427 ", 571 ," 2,529 ", 543 
2029 , 411 ," 2,898 "," 1,873 "," 1,666 "," 2,151 ", 506 ," 2,242 ", 481 
2030 , 368 ," 2,596 "," 1,678 "," 1,493 "," 1,926 ", 453 ," 2,008 ", 431 
2031 , 348 ," 2,456 "," 1,588 "," 1,412 "," 1,823 ", 429 ," 1,900 ", 408 
2032 , 317 ," 2,237 "," 1,446 "," 1,286 "," 1,660 ", 391 ," 1,730 ", 371 
2033 , 322 ," 2,270 "," 1,468 "," 1,306 "," 1,685 ", 397 ," 1,756 ", 377 
2034 , 345 ," 2,437 "," 1,576 "," 1,401 "," 1,809 ", 426 ," 1,885 ", 404 
2035 , 369 ," 2,605 "," 1,685 "," 1,498 "," 1,933 ", 455 ," 2,015 ", 432 
2036 , 392 ," 2,768 "," 1,789 "," 1,592 "," 2,054 ", 484 ," 2,141 ", 459 
2037 , 414 ," 2,921 "," 1,889 "," 1,680 "," 2,168 ", 510 ," 2,260 ", 485 
2038 , 434 ," 3,060 "," 1,978 "," 1,760 "," 2,271 ", 535 ," 2,367 ", 508 
2039 , 450 ," 3,180 "," 2,055 "," 1,828 "," 2,360 ", 555 ," 2,459 ", 527 
2040 , 464 ," 3,277 "," 2,119 "," 1,884 "," 2,432 ", 572 ," 2,535 ", 544 
2041 , 475 ," 3,350 "," 2,166 "," 1,927 "," 2,487 ", 585 ," 2,592 ", 556 
2042 , 482 ," 3,400 "," 2,198 "," 1,955 "," 2,524 ", 594 ," 2,630 ", 564 
