연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 650 ," 4,538 "," 3,038 "," 2,684 "," 3,394 ", 861 ," 3,478 ", 857 
2024 , 603 ," 4,337 "," 2,906 "," 2,568 "," 3,183 ", 890 ," 3,362 ", 917 
2025 , 581 ," 3,914 "," 2,549 "," 2,306 "," 2,886 ", 880 ," 2,995 ", 939 
2026 , 577 ," 3,508 "," 2,193 "," 1,997 "," 2,506 ", 778 ," 2,653 ", 913 
2027 , 527 ," 3,169 "," 2,033 "," 1,783 "," 2,274 ", 726 ," 2,446 ", 827 
2028 , 501 ," 2,775 "," 1,787 "," 1,614 "," 2,003 ", 633 ," 2,177 ", 727 
2029 , 455 ," 2,506 "," 1,591 "," 1,437 "," 1,784 ", 561 ," 1,938 ", 669 
2030 , 434 ," 2,367 "," 1,502 "," 1,358 "," 1,682 ", 532 ," 1,834 ", 646 
2031 , 396 ," 2,156 "," 1,368 "," 1,239 "," 1,533 ", 484 ," 1,669 ", 586 
2032 , 402 ," 2,188 "," 1,389 "," 1,257 "," 1,554 ", 493 ," 1,694 ", 598 
2033 , 432 ," 2,348 "," 1,491 "," 1,349 "," 1,668 ", 529 ," 1,818 ", 642 
2034 , 462 ," 2,510 "," 1,594 "," 1,442 "," 1,783 ", 566 ," 1,943 ", 686 
2035 , 491 ," 2,667 "," 1,693 "," 1,532 "," 1,894 ", 601 ," 2,065 ", 729 
2036 , 518 ," 2,815 "," 1,787 "," 1,617 "," 1,999 ", 634 ," 2,179 ", 769 
2037 , 542 ," 2,948 "," 1,872 "," 1,694 "," 2,094 ", 665 ," 2,283 ", 806 
2038 , 564 ," 3,063 "," 1,945 "," 1,760 "," 2,176 ", 690 ," 2,372 ", 837 
2039 , 581 ," 3,157 "," 2,005 "," 1,814 "," 2,243 ", 712 ," 2,444 ", 863 
2040 , 594 ," 3,228 "," 2,050 "," 1,855 "," 2,293 ", 728 ," 2,499 ", 882 
2041 , 603 ," 3,276 "," 2,080 "," 1,883 "," 2,327 ", 738 ," 2,537 ", 895 
2042 , 608 ," 3,303 "," 2,097 "," 1,898 "," 2,346 ", 744 ," 2,557 ", 903 
