연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 797 ," 4,905 "," 2,459 "," 1,948 "," 3,880 ", 740 ," 5,093 ", 627 
2024 , 753 ," 4,634 "," 2,323 "," 1,839 "," 3,664 ", 699 ," 4,809 ", 592 
2025 , 799 ," 4,914 "," 2,462 "," 1,953 "," 3,886 ", 742 ," 5,098 ", 627 
2026 , 796 ," 4,896 "," 2,454 "," 1,944 "," 3,871 ", 739 ," 5,085 ", 626 
2027 , 822 ," 5,051 "," 2,530 "," 2,006 "," 3,993 ", 761 ," 5,243 ", 644 
2028 , 736 ," 4,530 "," 2,269 "," 1,799 "," 3,582 ", 684 ," 4,703 ", 579 
2029 , 747 ," 4,591 "," 2,300 "," 1,822 "," 3,632 ", 692 ," 4,765 ", 586 
2030 , 740 ," 4,555 "," 2,280 "," 1,807 "," 3,602 ", 687 ," 4,727 ", 581 
2031 , 711 ," 4,380 "," 2,193 "," 1,740 "," 3,463 ", 661 ," 4,544 ", 558 
2032 , 647 ," 3,976 "," 1,991 "," 1,579 "," 3,146 ", 600 ," 4,127 ", 508 
2033 , 572 ," 3,523 "," 1,764 "," 1,402 "," 2,786 ", 532 ," 3,657 ", 450 
2034 , 524 ," 3,225 "," 1,614 "," 1,278 "," 2,549 ", 484 ," 3,344 ", 411 
2035 , 463 ," 2,850 "," 1,428 "," 1,135 "," 2,255 ", 432 ," 2,961 ", 364 
2036 , 416 ," 2,560 "," 1,281 "," 1,016 "," 2,023 ", 386 ," 2,651 ", 327 
2037 , 392 ," 2,417 "," 1,209 ", 960 ," 1,913 ", 363 ," 2,511 ", 307 
2038 , 358 ," 2,204 "," 1,104 ", 874 ," 1,741 ", 333 ," 2,283 ", 281 
2039 , 363 ," 2,236 "," 1,120 ", 887 ," 1,770 ", 338 ," 2,318 ", 286 
2040 , 391 ," 2,405 "," 1,205 ", 955 ," 1,902 ", 363 ," 2,496 ", 307 
2041 , 417 ," 2,563 "," 1,286 "," 1,018 "," 2,028 ", 387 ," 2,661 ", 328 
2042 , 442 ," 2,727 "," 1,365 "," 1,083 "," 2,156 ", 411 ," 2,829 ", 348 
