연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 657 ," 4,479 "," 2,827 "," 2,572 "," 3,331 ", 899 ," 3,754 ", 807 
2024 , 643 ," 4,511 "," 2,851 "," 2,593 "," 3,292 ", 977 ," 3,824 ", 915 
2025 , 676 ," 4,437 "," 2,714 "," 2,540 "," 3,249 "," 1,064 "," 3,726 "," 1,049 "
2026 , 726 ," 4,323 "," 2,537 "," 2,385 "," 3,069 "," 1,008 "," 3,579 "," 1,089 "
2027 , 660 ," 3,882 "," 2,339 "," 2,115 "," 2,768 ", 934 ," 3,279 ", 981 
2028 , 627 ," 3,400 "," 2,056 "," 1,917 "," 2,439 ", 815 ," 2,917 ", 862 
2029 , 580 ," 3,132 "," 1,867 "," 1,741 "," 2,215 ", 738 ," 2,651 ", 810 
2030 , 519 ," 2,770 "," 1,649 "," 1,540 "," 1,956 ", 655 ," 2,349 ", 733 
2031 , 466 ," 2,479 "," 1,476 "," 1,382 "," 1,750 ", 587 ," 2,102 ", 657 
2032 , 441 ," 2,347 "," 1,398 "," 1,305 "," 1,657 ", 556 ," 1,990 ", 622 
2033 , 402 ," 2,138 "," 1,273 "," 1,188 "," 1,509 ", 506 ," 1,812 ", 567 
2034 , 408 ," 2,170 "," 1,292 "," 1,206 "," 1,532 ", 514 ," 1,839 ", 575 
2035 , 437 ," 2,329 "," 1,387 "," 1,294 "," 1,644 ", 552 ," 1,974 ", 617 
2036 , 468 ," 2,489 "," 1,483 "," 1,383 "," 1,757 ", 590 ," 2,110 ", 660 
2037 , 497 ," 2,645 "," 1,576 "," 1,470 "," 1,867 ", 627 ," 2,242 ", 701 
2038 , 524 ," 2,792 "," 1,663 "," 1,552 "," 1,971 ", 661 ," 2,366 ", 740 
2039 , 549 ," 2,925 "," 1,742 "," 1,626 "," 2,065 ", 693 ," 2,479 ", 775 
2040 , 571 ," 3,039 "," 1,810 "," 1,689 "," 2,145 ", 720 ," 2,576 ", 805 
2041 , 588 ," 3,132 "," 1,865 "," 1,740 "," 2,211 ", 742 ," 2,655 ", 830 
2042 , 601 ," 3,202 "," 1,907 "," 1,779 "," 2,260 ", 758 ," 2,714 ", 849 
