연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 720 ," 5,110 "," 3,057 "," 2,846 "," 3,685 ", 983 ," 4,270 ", 879 
2024 , 623 ," 4,556 "," 2,726 "," 2,540 "," 3,223 ", 946 ," 3,849 ", 885 
2025 , 669 ," 4,591 "," 2,661 "," 2,545 "," 3,263 "," 1,041 "," 3,836 "," 1,020 "
2026 , 743 ," 4,602 "," 2,552 "," 2,462 "," 3,167 "," 1,031 "," 3,800 "," 1,115 "
2027 , 715 ," 4,377 "," 2,493 "," 2,312 "," 3,025 "," 1,012 "," 3,686 "," 1,064 "
2028 , 696 ," 3,928 "," 2,244 "," 2,147 "," 2,730 ", 904 ," 3,358 ", 957 
2029 , 626 ," 3,511 "," 1,977 "," 1,891 "," 2,406 ", 794 ," 2,962 ", 873 
2030 , 577 ," 3,201 "," 1,801 "," 1,725 "," 2,190 ", 726 ," 2,705 ", 814 
2031 , 513 ," 2,835 "," 1,594 "," 1,531 "," 1,939 ", 644 ," 2,396 ", 723 
2032 , 459 ," 2,540 "," 1,429 "," 1,371 "," 1,737 ", 578 ," 2,145 ", 647 
2033 , 434 ," 2,404 "," 1,353 "," 1,298 "," 1,644 ", 547 ," 2,030 ", 613 
2034 , 396 ," 2,189 "," 1,232 "," 1,182 "," 1,497 ", 498 ," 1,849 ", 558 
2035 , 402 ," 2,222 "," 1,250 "," 1,200 "," 1,520 ", 505 ," 1,877 ", 566 
2036 , 431 ," 2,385 "," 1,342 "," 1,287 "," 1,631 ", 542 ," 2,014 ", 608 
2037 , 461 ," 2,549 "," 1,435 "," 1,376 "," 1,743 ", 580 ," 2,153 ", 650 
2038 , 490 ," 2,709 "," 1,525 "," 1,462 "," 1,853 ", 616 ," 2,288 ", 690 
2039 , 517 ," 2,859 "," 1,609 "," 1,543 "," 1,955 ", 650 ," 2,415 ", 729 
2040 , 541 ," 2,995 "," 1,685 "," 1,617 "," 2,048 ", 681 ," 2,530 ", 763 
2041 , 562 ," 3,112 "," 1,751 "," 1,680 "," 2,128 ", 708 ," 2,628 ", 793 
2042 , 580 ," 3,207 "," 1,805 "," 1,731 "," 2,193 ", 729 ," 2,709 ", 817 
