학급당인원배분,2023,2024,2025,2026,2027
20명,"3,119","3,121","3,081","3,082","3,117"
21명,"2,971","2,986","2,948","2,956","2,972"
22명,"2,851","2,852","2,807","2,818","2,847"
23명,"2,730","2,737","2,701","2,701","2,728"
24명,"2,625","2,638","2,579","2,600","2,623"
25명,"2,529","2,531","2,491","2,508","2,530"
26명,"2,433","2,431","2,412","2,406","2,436"
27명,"2,351","2,357","2,310","2,327","2,343"
28명,"2,273","2,276","2,243","2,245","2,266"
