학급당인원배분,2023,2024,2025,2026,2027
20명,"6,699","6,503","6,148","5,868","5,514"
21명,"6,411","6,238","5,909","5,641","5,294"
22명,"6,184","5,985","5,674","5,419","5,072"
23명,"5,946","5,739","5,439","5,225","4,879"
24명,"5,707","5,524","5,281","5,036","4,712"
25명,"5,498","5,325","5,107","4,847","4,554"
26명,"5,309","5,167","4,932","4,680","4,404"
27명,"5,123","5,002","4,747","4,539","4,264"
28명,"4,966","4,858","4,622","4,403","4,132"
,,,,,
