학급당인원배분,2023,2024,2025,2026,2027
20명,"6,668","6,489","6,171","5,904","5,511"
21명,"6,388","6,220","5,931","5,656","5,292"
22명,"6,164","5,997","5,704","5,433","5,069"
23명,"5,940","5,771","5,455","5,216","4,892"
24명,"5,709","5,543","5,257","5,015","4,720"
25명,"5,496","5,337","5,082","4,844","4,574"
26명,"5,293","5,149","4,899","4,693","4,397"
27명,"5,132","4,979","4,749","4,551","4,252"
28명,"4,974","4,817","4,588","4,409","4,135"
