학급당인원배분,2023 ,2024 ,2025 ,2026 ,2027 
20명," 3,118 "," 3,127 "," 3,093 "," 3,028 "," 3,023 "
21명," 2,972 "," 2,983 "," 2,960 "," 2,902 "," 2,886 "
22명," 2,838 "," 2,858 "," 2,830 "," 2,769 "," 2,773 "
23명," 2,732 "," 2,742 "," 2,704 "," 2,663 "," 2,651 "
24명," 2,630 "," 2,637 "," 2,608 "," 2,551 "," 2,549 "
25명," 2,519 "," 2,526 "," 2,507 "," 2,466 "," 2,449 "
26명," 2,429 "," 2,451 "," 2,411 "," 2,369 "," 2,367 "
27명," 2,340 "," 2,349 "," 2,338 "," 2,281 "," 2,283 "
28명," 2,272 "," 2,282 "," 2,251 "," 2,215 "," 2,201 "
