학급당인원배분,2023,2024,2025,2026,2027
20명,"3,120","3,122","3,082","3,082","3,113"
21명,"2,972","2,984","2,938","2,955","2,973"
22명,"2,850","2,856","2,814","2,822","2,844"
23명,"2,732","2,736","2,698","2,705","2,729"
24명,"2,630","2,634","2,588","2,597","2,616"
25명,"2,525","2,525","2,490","2,504","2,528"
26명,"2,435","2,427","2,402","2,405","2,427"
27명,"2,345","2,353","2,319","2,318","2,334"
28명,"2,270","2,276","2,244","2,246","2,268"
