학급당인원배분,2023,2024,2025,2026,2027
20명," 10,864 "," 10,618 "," 10,169 "," 9,787 "," 9,237 "
21명," 10,471 "," 10,237 "," 9,829 "," 9,438 "," 8,932 "
22명," 10,157 "," 9,927 "," 9,505 "," 9,124 "," 8,618 "
23명," 9,837 "," 9,607 "," 9,161 "," 8,821 "," 8,374 "
24명," 9,511 "," 9,292 "," 8,884 "," 8,544 "," 8,127 "
25명," 9,210 "," 8,993 "," 8,634 "," 8,303 "," 7,919 "
26명," 8,925 "," 8,732 "," 8,374 "," 8,088 "," 7,668 "
27명," 8,711 "," 8,490 "," 8,164 "," 7,883 "," 7,463 "
28명," 8,481 "," 8,260 "," 7,937 "," 7,692 "," 7,298 "
