학급당인원배분,2023,2024,2025,2026,2027
20명," 10,908 "," 10,642 "," 10,135 "," 9,741 "," 9,263 "
21명," 10,503 "," 10,267 "," 9,802 "," 9,416 "," 8,958 "
22명," 10,180 "," 9,906 "," 9,475 "," 9,116 "," 8,648 "
23명," 9,846 "," 9,561 "," 9,142 "," 8,837 "," 8,365 "
24명," 9,511 "," 9,268 "," 8,909 "," 8,578 "," 8,134 "
25명," 9,223 "," 8,992 "," 8,677 "," 8,307 "," 7,916 "
26명," 8,955 "," 8,765 "," 8,425 "," 8,071 "," 7,703 "
27명," 8,697 "," 8,534 "," 8,172 "," 7,877 "," 7,511 "
28명," 8,467 "," 8,331 "," 7,992 "," 7,691 "," 7,326 "
